Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP14;qValue;fold;log2(fold)
;5492428;5492535;;+;-;SCO5052;hypothetical protein;1;1;1;1;0
;5565480;5566403;;+;-;SCO5118;peptide transport system integral membrane protein;1;1;1;1;0
;5789957;5789484;;-;-;SCO5319;whiE protein II;1;1;1;1;0
;5812543;5812740;;+;-;SCO5340;hypothetical protein;1;1;1;1;0
;5813452;5813643;;+;-;SCO5342;SpdB2 protein;1;1;1;1;0
;5813822;5814145;;+;-;SCO5344;SpdD2 protein;1;1;1;1;0
;5815050;5816414;;+;-;SCO5347;replication initiation protein;1;1;1;1;0
;6111177;6111392;;+;-;SCO5611;transcriptional regulator;1;1;1;1;0
;6445654;6445917;;+;-;SCO5889;hypothetical protein;1;1;1;1;0
;6456446;6457489;;+;-;SCO5893;oxidoreductase;1;1;1;1;0
;6494912;6493143;;-;-;SCO5924;hypothetical protein;1;1;1;1;0
;6506808;6507281;;+;-;SCO5939;peptidylprolyl isomerase;1;1;1;1;0
;6767705;6768031;;+;-;SCO6164;hypothetical protein;1;1;1;1;0
;6787764;6788621;;+;-;SCO6182;dehydratase;1;1;1;1;0
;6792478;6793869;;+;-;SCO6187;bifunctional synthase/transferase;1;1;1;1;0
;6795563;6796516;;+;-;SCO6189;transferase;1;1;1;1;0
;6796513;6797409;;+;-;SCO6190;transferase;1;1;1;1;0
;7004372;7004848;;+;-;SCO6346;hypothetical protein;1;1;1;1;0
;7033729;7033962;;+;-;SCO6372;hypothetical protein;1;1;1;1;0
;7116086;7116493;;+;-;SCO6433;hypothetical protein;1;1;1;1;0
;7244086;7244250;;+;-;SCO6547;hypothetical protein;1;1;1;1;0
;7281003;7282094;;+;-;SCO6574;hypothetical protein;1;1;1;1;0
;7282091;7283038;;+;-;SCO6575;hypothetical protein;1;1;1;1;0
;7283789;7284637;;+;-;SCO6577;hypothetical protein;1;1;1;1;0
;7284641;7285816;;+;-;SCO6578;hypothetical protein;1;1;1;1;0
;7285813;7287210;;+;-;SCO6579;hypothetical protein;1;1;1;1;0
;7321513;7322829;;+;-;SCO6601;sugar binding protein;1;1;1;1;0
;7322891;7323919;;+;-;SCO6602;transmembrane sugar transport protein;1;1;1;1;0
;7323927;7324766;;+;-;SCO6603;transmembrane sugar transport protein;1;1;1;1;0
;7544744;7545892;;+;-;SCO6787;acyl-CoA dehydrogenase;1;1;1;1;0
;7615928;7614564;;-;-;SCO6842;hypothetical protein;1;1;1;1;0
;7618383;7617112;;-;-;SCO6844;DNA methylase;1;1;1;1;0
;7619000;7618380;;-;-;SCO6845;hypothetical protein;1;1;1;1;0
;7620910;7620290;;-;-;SCO6847;hypothetical protein;1;1;1;1;0
;7623185;7621458;;-;-;SCO6849;hypothetical protein;1;1;1;1;0
;7624064;7623285;;-;-;SCO6850;hypothetical protein;1;1;1;1;0
;7625485;7624664;;-;-;SCO6852;hypothetical protein;1;1;1;1;0
;7628124;7627477;;-;-;SCO6856;hypothetical protein;1;1;1;1;0
;7628879;7628121;;-;-;SCO6857;hypothetical protein;1;1;1;1;0
;7629609;7628905;;-;-;SCO6858;hypothetical protein;1;1;1;1;0
;7640056;7638950;;-;-;SCO6868;hypothetical protein;1;1;1;1;0
;7640792;7640049;;-;-;SCO6869;hypothetical protein;1;1;1;1;0
;7642568;7641501;;-;-;SCO6871;lipoprotein;1;1;1;1;0
;7643734;7643492;;-;-;SCO6873;hypothetical protein;1;1;1;1;0
;7644442;7643807;;-;-;SCO6874;hypothetical protein;1;1;1;1;0
;7645406;7644900;;-;-;SCO6876;hypothetical protein;1;1;1;1;0
;7647787;7646264;;-;-;SCO6878;ATP-binding protein;1;1;1;1;0
;7649820;7648378;;-;-;SCO6880;lipoprotein;1;1;1;1;0
;7652374;7652060;;-;-;SCO6883;hypothetical protein;1;1;1;1;0
;7656204;7656902;;+;-;SCO6888;hypothetical protein;1;1;1;1;0
;7657809;7658258;;+;-;SCO6890;hypothetical protein;1;1;1;1;0
;7659639;7660481;;+;-;SCO6894;hypothetical protein;1;1;1;1;0
;7660478;7660993;;+;-;SCO6895;regulator (fragment);1;1;1;1;0
;7662258;7662569;;+;-;SCO6897;hypothetical protein;1;1;1;1;0
;7662638;7663855;;+;-;SCO6898;carboxylase;1;1;1;1;0
;7665000;7665629;;+;-;SCO6900;hypothetical protein;1;1;1;1;0
;7665653;7666519;;+;-;SCO6901;hypothetical protein;1;1;1;1;0
;7666548;7667036;;+;-;SCO6902;hypothetical protein;1;1;1;1;0
;7667084;7667884;;+;-;SCO6903;hypothetical protein;1;1;1;1;0
;7686425;7685784;;-;-;SCO6922;hypothetical protein;1;1;1;1;0
;7710167;7710406;;+;-;SCO6946;hypothetical protein;1;1;1;1;0
;7713266;7712805;;-;-;SCO6949;hypothetical protein;1;1;1;1;0
;7725810;7726127;;+;-;SCO6958;hypothetical protein;1;1;1;1;0
;7726124;7726489;;+;-;SCO6959;monovalent cation/H+ antiporter subunit G;1;1;1;1;0
;7816239;7817057;;+;-;SCO7030;binding-protein-dependent transport protein;1;1;1;1;0
;7863191;7863367;;+;-;SCO7074;hypothetical protein;1;1;1;1;0
;7905621;7904521;;-;-;SCO7115;hypothetical protein;1;1;1;1;0
;7906456;7905713;;-;-;SCO7116;hypothetical protein;1;1;1;1;0
;7908808;7909746;;+;-;SCO7119;dehydrogenase;1;1;1;1;0
;7981423;7981070;;-;-;SCO7180;hypothetical protein;1;1;1;1;0
;8051378;8051503;;+;-;SCO7242;hypothetical protein;1;1;1;1;0
;8072945;8073109;;+;-;SCO7262;hypothetical protein;1;1;1;1;0
;8162315;8162202;;-;-;SCO7348;hypothetical protein;1;1;1;1;0
;8162506;8162393;;-;-;SCO7349;hypothetical protein;1;1;1;1;0
;8201665;8202543;;+;-;SCO7389;short chain dehydrogenase;1;1;1;1;0
;8224777;8223827;;-;-;SCO7409;binding-protein dependent transport protein;1;1;1;1;0
;8265291;8265896;;+;-;SCO7450;hypothetical protein;1;1;1;1;0
;8312979;8311492;;-;-;SCO7500;allantoin permease;1;1;1;1;0
;8313196;8314671;;+;-;SCO7501;hydrolase;1;1;1;1;0
;8315906;8317243;;+;-;SCO7503;extracellular solute-binding protein;1;1;1;1;0
;8317256;8318206;;+;-;SCO7504;integral membrane binding-protein-dependent transport protein;1;1;1;1;0
;8328367;8327480;;-;-;SCO7513;hydrolase;1;1;1;1;0
;8345074;8346285;;+;-;SCO7526;chloramphenicol resistance protein;1;1;1;1;0
;8419486;8419851;;+;-;SCO7593;hypothetical protein;1;1;1;1;0
;8424898;8425014;;+;-;SCO7598;hypothetical protein;1;1;1;1;0
;8496340;8495102;;-;-;SCO7671;transferase;1;1;1;1;0
;8498412;8498906;;+;-;SCO7675;hypothetical protein;1;1;1;1;0
;8518494;8519645;;+;-;SCO7684;hypothetical protein;1;1;1;1;0
;8526344;8528107;;+;-;SCO7690;ABC transporter ATP-binding protein;1;1;1;1;0
;8658204;8657098;;-;-;SCO7841;ATP/GTP-binding protein;1;1;1;1;0
;53141;54100;;+;-;SCO0066;integral membrane permease;1;1;1;1;0
;54968;56173;;+;-;SCO0068;hydrolase;1;1;1;1;0
;641762;640719;;-;-;SCO0601;hypothetical protein;1;1;1;1;0
;667744;667100;;-;-;SCO0626;hypothetical protein;1;1;1;1;0
;748387;747191;;-;-;SCO0707;branched-chain amino acid ABC transporter permease;1;1;1;1;0
;1000162;999242;;-;-;SCO0950;transport system permease;1;1;1;1;0
;1001091;1000159;;-;-;SCO0951;transport system permease;1;1;1;1;0
;1351976;1350735;;-;-;SCO1280;hypothetical protein;1;1;1;1;0
;1354445;1353978;;-;-;SCO1283;hypothetical protein;1;1;1;1;0
;1358209;1357085;;-;-;SCO1286;oxidoreductase;1;1;1;1;0
;1409722;1408850;;-;-;SCO1332;hypothetical protein;1;1;1;1;0
;1828488;1827151;;-;-;SCO1707;ABC sugar transporter, ATP-binding subunit;1;1;1;1;0
;1834164;1831921;;-;-;SCO1711;dehydrogenase;1;1;1;1;0
;2030392;2031201;;+;-;SCO1896;hypothetical protein;1;1;1;1;0
;2586635;2586123;;-;-;SCO2413;hypothetical protein;1;1;1;1;0
;2591233;2590178;;-;-;SCO2417;hypothetical protein;1;1;1;1;0
;2609869;2608364;;-;-;SCO2431;alpha-L-arabinofuranosidase;1;1;1;1;0
;3534899;3534444;;-;-;SCO3222;hypothetical protein;1;1;1;1;0
;3888872;3889636;;+;-;SCO3520;hypothetical protein;1;1;1;1;0
;3897241;3897840;;+;-;SCO3530;hypothetical protein;1;1;1;1;0
;5171652;5172401;;+;-;SCO4760;hypothetical protein;1;1;1;1;0
;5814235;5814786;;+;-;SCO5345;hypothetical protein;1;1;1;1;0
;5938529;5939278;;+;-;SCO5453;hypothetical protein;1;1;1;1;0
;6493150;6492065;;-;-;SCO5923;ABC transporter ATP-binding protein;1;1;1;1;0
;6510025;6510810;;+;-;SCO5943;hydrolase;1;1;1;1;0
;6513765;6514538;;+;-;SCO5946;hypothetical protein;1;1;1;1;0
;6825153;6826568;;+;-;SCO6212;permease;1;1;1;1;0
;7537378;7537178;;-;-;SCO6779;hypothetical protein;1;1;1;1;0
;7710085;7709876;;-;-;SCO6945;hypothetical protein;1;1;1;1;0
;7722717;7723481;;+;-;SCO6955;monovalent cation/H+ antiporter subunit C;1;1;1;1;0
;7723478;7725217;;+;-;SCO6956;monovalent cation/H+ antiporter subunit D;1;1;1;1;0
;7918281;7917541;;-;-;SCO7125;hypothetical protein;1;1;1;1;0
;7924780;7925121;;+;-;SCO7133;hypothetical protein;1;1;1;1;0
;7965876;7965442;;-;-;SCO7169;hypothetical protein;1;1;1;1;0
;8223731;8222376;;-;-;SCO7408;solute-binding lipoprotein;1;1;1;1;0
;8367785;8368597;;+;-;SCO7545;ABC transporter ATP-binding protein;1;1;1;1;0
;8389526;8390392;;+;-;SCO7566;oligopeptide ABC transporter ATP-binding protein;1;1;1;1;0
;8645791;8644811;;-;-;SCO7826;hypothetical protein;1;1;1;1;0
;30054;29605;;-;-;SCO0035;hypothetical protein;2;1;1;2;1
;180824;180084;;-;-;SCO0190;methyltransferase;2;1;1;2;1
;262330;263220;;+;-;SCO0272;binding-protein-dependent transport protein;2;1;1;2;1
;589546;589268;;-;-;SCO0549;acyl carrier protein;2;1;1;2;1
;1442967;1443134;;+;-;SCO1365;hypothetical protein;2;1;1;2;1
;2023845;2022115;;-;-;SCO1888;dihydroxy-acid dehydratase;2;1;1;2;1
;2594355;2593549;;-;-;SCO2420;ABC-transporter integral membrane protein;2;1;1;2;1
;3587647;3585800;;-;-;SCO3235;ABC transporter;2;1;1;2;1
;3891104;3891829;;+;-;SCO3523;hypothetical protein;2;1;1;2;1
;6746637;6747161;;+;-;SCO6146;hypothetical protein;2;1;1;2;1
;7437081;7438847;;+;-;SCO6689;hypothetical protein;2;1;1;2;1
;8081893;8082303;;+;-;SCO7273;hypothetical protein;2;1;1;2;1
;8498017;8498415;;+;-;SCO7674;metal-binding protein;2;1;1;2;1
;2110338;2109895;;-;-;SCO1970;dioxygenase;3;1;1;3;1,584962501
;3276479;3276748;;+;-;SCO3004;hypothetical protein;3;1;1;3;1,584962501
;4113665;4114393;;+;-;SCO3742;glycosyltransferase;3;1;1;3;1,584962501
;4121664;4121933;;+;-;SCO3751;hypothetical protein;3;1;1;3;1,584962501
;4434929;4435393;;+;-;SCO4040;hypothetical protein;3;1;1;3;1,584962501
;4558549;4558121;;-;-;SCO4143;mutT-like protein;3;1;1;3;1,584962501
;5203840;5204163;;+;-;SCO4783;hypothetical protein;3;1;1;3;1,584962501
;7357356;7356766;;-;-;SCO6628;hypothetical protein;3;1;1;3;1,584962501
;822048;821848;;-;-;SCO0773;ferredoxin;4;1;1;4;2
;2987096;2986899;;-;-;SCO2739;hypothetical protein;6;1;1;6;2,584962501
;7132141;7131401;;-;-;SCO6447;NAD(P)H oxidoreductase;6;1;1;6;2,584962501
;3820929;3821387;;+;-;SCO3461;hypothetical protein;7;1;1;7;2,807354922
;2918653;2919168;;+;-;SCO2678;hypothetical protein;8;1;1;8;3
;211748;212551;;+;-;SCO0218;nitrate reductase subunit delta NarJ2;17;1;1;17;4,087462841
;11360;11010;;-;-;SCO0008;hypothetical protein;1;1;1;1;0
;15029;14739;;-;-;SCO0013;hypothetical protein;1;1;1;1;0
;17919;18263;;+;-;SCO0017;hypothetical protein;1;1;1;1;0
;22761;22156;;-;-;SCO0022;IS element ATP-binding protein;1;1;1;1;0
;25251;25871;;+;-;SCO0030;hypothetical protein;1;1;1;1;0
;29040;29519;;+;-;SCO0034;hypothetical protein;1;1;1;1;0
;32134;33357;;+;-;SCO0040;glycosyl transferase;1;1;1;1;0
;72139;71648;;-;-;SCO0085;hypothetical protein;1;1;1;1;0
;79702;78983;;-;-;SCO0095;hypothetical protein;1;1;1;1;0
;140299;139703;;-;-;SCO0149;hypothetical protein;1;1;1;1;0
;146603;146980;;+;-;SCO0157;hypothetical protein;1;1;1;1;0
;222827;223288;;+;-;SCO0234;oxidoreductase;1;1;1;1;0
;310378;311727;;+;-;SCO0313;transmembrane transport protein;1;1;1;1;0
;311724;313670;;+;-;SCO0314;hypothetical protein;1;1;1;1;0
;331504;332253;;+;fabG;SCO0330;3-ketoacyl-ACP reductase;1;1;1;1;0
;335734;334223;;-;-;SCO0333;dioxygenase;1;1;1;1;0
;377255;373998;;-;-;SCO0369;hypothetical protein;1;1;1;1;0
;500780;501412;;+;-;SCO0480;hypothetical protein;1;1;1;1;0
;543535;543119;;-;-;SCO0507;hypothetical protein;1;1;1;1;0
;607837;606677;;-;-;SCO0564;hypothetical protein;1;1;1;1;0
;669870;667741;;-;-;SCO0627;ATP-utilizing protein;1;1;1;1;0
;692619;692897;;+;-;SCO0652;gas vesicle synthesis protein;1;1;1;1;0
;735667;734210;;-;-;SCO0692;hypothetical protein;1;1;1;1;0
;756143;753318;;-;-;SCO0712;transcriptional activator;1;1;1;1;0
;757246;756314;;-;-;SCO0713;lipase;1;1;1;1;0
;858172;857132;;-;-;SCO0810;ABC transporter permease;1;1;1;1;0
;859686;858169;;-;-;SCO0811;ABC transporter ATP-binding protein;1;1;1;1;0
;1071656;1071312;;-;-;SCO1015;hypothetical protein;1;1;1;1;0
;1120834;1119167;;-;-;SCO1061;bifunctional sugar binding protein/sugar hydrolase;1;1;1;1;0
;1126256;1124895;;-;-;SCO1065;sugar transport sugar binding protein;1;1;1;1;0
;1300331;1297131;;-;-;SCO1226;hypothetical protein;1;1;1;1;0
;1337876;1336608;;-;-;SCO1266;3-oxoacyl-ACP synthase;1;1;1;1;0
;1355912;1354527;;-;-;SCO1284;aminotransferase;1;1;1;1;0
;1843034;1842282;;-;-;SCO1722;hypothetical protein;1;1;1;1;0
;2498675;2498289;;-;-;SCO2327;hypothetical protein;1;1;1;1;0
;2574719;2575690;;+;-;SCO2403;hypothetical protein;1;1;1;1;0
;2583998;2582733;;-;-;SCO2409;hypothetical protein;1;1;1;1;0
;2584839;2584078;;-;-;SCO2410;hypothetical protein;1;1;1;1;0
;2587933;2586632;;-;-;SCO2414;hypothetical protein;1;1;1;1;0
;2595126;2594362;;-;-;SCO2421;ABC-transporter integral membrane protein;1;1;1;1;0
;2613053;2611695;;-;-;SCO2434;sugar transporter sugar binding protein;1;1;1;1;0
;2665196;2666839;;+;-;SCO2474;metalloproteinase;1;1;1;1;0
;3249066;3251276;;+;-;SCO2982;glycosyl transferase;1;1;1;1;0
;3588688;3587687;;-;-;SCO3236;oxygenase;1;1;1;1;0
;3604107;3603907;;-;-;SCO3251;excisionase;1;1;1;1;0
;3605504;3604104;;-;-;SCO3252;replication initiator protein;1;1;1;1;0
;3606263;3606102;;-;-;SCO3255;SpdB protein;1;1;1;1;0
;3803405;3803974;;+;-;SCO3441;hypothetical protein;1;1;1;1;0
;3814025;3812961;;-;-;SCO3453;ABC-transporter ATP binding protein;1;1;1;1;0
;3885882;3887351;;+;-;SCO3517;ATP-binding protein;1;1;1;1;0
;3898613;3899089;;+;-;SCO3532;hypothetical protein;1;1;1;1;0
;4384451;4384729;;+;-;SCO3982;hypothetical protein;1;1;1;1;0
;5276184;5277152;;+;-;SCO4844;phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase;1;1;1;1;0
;5494102;5494416;;+;-;SCO5054;hypothetical protein;1;1;1;1;0
;5566459;5567376;;+;-;SCO5119;peptide transport system integral membrane protein;1;1;1;1;0
;5788219;5786945;;-;-;SCO5317;polyketide beta-ketoacyl synthase beta;1;1;1;1;0
;6153109;6151649;;-;-;SCO5653;hypothetical protein;1;1;1;1;0
;6186445;6185312;;-;-;SCO5682;hypothetical protein;1;1;1;1;0
;6191418;6188536;;-;-;SCO5685;sugar hydrolase;1;1;1;1;0
;6197356;6199599;;+;-;SCO5690;hypothetical protein;1;1;1;1;0
;6449549;6456442;;+;-;SCO5892;polyketide synthase;1;1;1;1;0
;6510803;6511951;;+;-;SCO5944;hypothetical protein;1;1;1;1;0
;6511948;6513768;;+;-;SCO5945;transferase;1;1;1;1;0
;6744922;6746640;;+;-;SCO6145;hypothetical protein;1;1;1;1;0
;6786733;6787767;;+;-;SCO6181;transferase;1;1;1;1;0
;6790569;6791789;;+;-;SCO6185;transferase;1;1;1;1;0
;6828295;6829683;;+;-;SCO6214;permease;1;1;1;1;0
;7028168;7025526;;-;-;SCO6365;hypothetical protein;1;1;1;1;0
;7085067;7086635;;+;-;SCO6417;integral membrane transporter;1;1;1;1;0
;7283052;7283789;;+;-;SCO6576;hypothetical protein;1;1;1;1;0
;7295197;7293515;;-;-;SCO6584;TPP-requiring enzyme;1;1;1;1;0
;7470453;7470647;;+;-;SCO6716;hypothetical protein;1;1;1;1;0
;7582254;7580932;;-;-;SCO6819;3-phosphoshikimate 1-carboxyvinyltransferase;1;1;1;1;0
;7584639;7582309;;-;-;SCO6820;oxidoreductase;1;1;1;1;0
;7610765;7609452;;-;-;SCO6839;hypothetical protein;1;1;1;1;0
;7617112;7615994;;-;-;SCO6843;hypothetical protein;1;1;1;1;0
;7619880;7619557;;-;-;SCO6846;hypothetical protein;1;1;1;1;0
;7621461;7621003;;-;-;SCO6848;hypothetical protein;1;1;1;1;0
;7624633;7624067;;-;-;SCO6851;hypothetical protein;1;1;1;1;0
;7635678;7633888;;-;-;SCO6864;hypothetical protein;1;1;1;1;0
;7638457;7637267;;-;-;SCO6866;hypothetical protein;1;1;1;1;0
;7638912;7638454;;-;-;SCO6867;hypothetical protein;1;1;1;1;0
;7641461;7640844;;-;-;SCO6870;hypothetical protein;1;1;1;1;0
;7643502;7642591;;-;-;SCO6872;hypothetical protein;1;1;1;1;0
;7648277;7647816;;-;-;SCO6879;hypothetical protein;1;1;1;1;0
;7652060;7651368;;-;-;SCO6882;hypothetical protein;1;1;1;1;0
;7655700;7656185;;+;-;SCO6887;hypothetical protein;1;1;1;1;0
;7656920;7657660;;+;-;SCO6889;hypothetical protein;1;1;1;1;0
;7658730;7659212;;+;-;SCO6892;hypothetical protein;1;1;1;1;0
;7659287;7659598;;+;-;SCO6893;hypothetical protein;1;1;1;1;0
;7663852;7665003;;+;-;SCO6899;hypothetical protein;1;1;1;1;0
;7667918;7668928;;+;-;SCO6904;hypothetical protein;1;1;1;1;0
;7683453;7682938;;-;-;SCO6919;hypothetical protein;1;1;1;1;0
;7685787;7684057;;-;-;SCO6921;hypothetical protein;1;1;1;1;0
;7725214;7725813;;+;-;SCO6957;monovalent cation/H+ antiporter subunit E;1;1;1;1;0
;7815286;7816242;;+;-;SCO7029;binding-protein-dependent transport protein;1;1;1;1;0
;7823274;7824713;;+;-;SCO7035;succinate-semialdehyde dehydrogenase;1;1;1;1;0
;7887321;7887665;;+;-;SCO7096;hypothetical protein;1;1;1;1;0
;7893752;7893453;;-;-;SCO7103;hypothetical protein;1;1;1;1;0
;7908628;7907864;;-;-;SCO7118;hypothetical protein;1;1;1;1;0
;7917424;7914737;;-;aceE;SCO7124;pyruvate dehydrogenase subunit E1;1;1;1;1;0
;7921794;7921324;;-;-;SCO7129;hypothetical protein;1;1;1;1;0
;7977242;7973481;;-;-;SCO7176;peptidase;1;1;1;1;0
;7982399;7983112;;+;-;SCO7182;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;8007340;8007146;;-;-;SCO7204;hypothetical protein;1;1;1;1;0
;8159511;8158531;;-;-;SCO7345;ATP-dependent DNA ligase;1;1;1;1;0
;8188898;8189692;;+;-;SCO7375;acetyltransferase;1;1;1;1;0
;8191562;8191873;;+;-;SCO7379;hypothetical protein;1;1;1;1;0
;8204060;8204551;;+;-;SCO7392;hypothetical protein;1;1;1;1;0
;8245909;8245226;;-;-;SCO7432;extracellular small neutral protease;1;1;1;1;0
;8352350;8351511;;-;-;SCO7532;hypothetical protein;1;1;1;1;0
;8506283;8512972;;+;-;SCO7682;non-ribosomal peptide synthase;1;1;1;1;0
;8512969;8518497;;+;-;SCO7683;non-ribosomal peptide synthase;1;1;1;1;0
;8519642;8521675;;+;-;SCO7685;hypothetical protein;1;1;1;1;0
;8575071;8574364;;-;-;SCO7739;hydrolase;1;1;1;1;0
;8579414;8579043;;-;-;SCO7746;insertion element transposase;1;1;1;1;0
;8591283;8591942;;+;-;SCO7761;hypothetical protein;1;1;1;1;0
;8639456;8639902;;+;-;SCO7820;hypothetical protein;1;1;1;1;0
;8649589;8649245;;-;-;SCO7830;hypothetical protein;1;1;1;1;0
;8652479;8652769;;+;-;SCO7834;hypothetical protein;1;1;1;1;0
;8656148;8656498;;+;-;SCO7839;hypothetical protein;1;1;1;1;0
;11952;11617;;-;-;SCO0009;hypothetical protein;1;1;1;1;0
;54097;54918;;+;-;SCO0067;integral membrane permease;1;1;1;1;0
;99338;98463;;-;-;SCO0120;hypothetical protein;1;1;1;1;0
;320008;319499;;-;-;SCO0319;hypothetical protein;1;1;1;1;0
;332311;333210;;+;-;SCO0331;short chain oxidoreductase;1;1;1;1;0
;465502;464207;;-;-;SCO0445;hypothetical protein;1;1;1;1;0
;468153;469232;;+;-;SCO0449;solute-binding lipoprotein;1;1;1;1;0
;496493;495246;;-;-;SCO0474;lipoprotein;1;1;1;1;0
;667096;665816;;-;-;SCO0625;transporter;1;1;1;1;0
;875839;877500;;+;-;SCO0828;alkaline phosphatase;1;1;1;1;0
;942090;941071;;-;-;SCO0895;RNA polymerase principal sigma factor HrdC;1;1;1;1;0
;1336564;1335695;;-;-;SCO1265;lipase;1;1;1;1;0
