Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP11;qValue;fold;log2(fold)
3917885;3917885;3915027;3914989;-;-;SCO3543;DNA topoisomerase I;64;499;6,26E-39;0,128256513;-2,962896005
8413356;;;8412359;-;-;predicted RNA;antisense: SCO7587;547;67;3,32E-38;8,164179104;3,029307832
159372;159372;160025;;+;-;SCO0169;hypothetical protein;248;25;6,11E-38;9,92;3,310340121
4397855;4397855;4397691;4397689;-;-;SCO4004;small membrane protein;4;54;9,27E-38;0,074074074;-3,754887502
4756861;4756861;4757403;4757410;+;-;SCO4342;hypothetical protein;68;474;2,87E-37;0,143459916;-2,801280408
;8630430;8630050;;-;-;SCO7811;hypothetical protein;1;24;1,33E-36;0,041666667;-4,584962501
3852602;;;3852567;-;-;predicted RNA;antisense: SCO3487;11;155;6,06E-36;0,070967742;-3,816692787
5797677;;;5797608;-;-;SCOt54;Xaa tRNA;19;211;9,98E-36;0,090047393;-3,473171675
;195461;194760;194760;-;-;SCO0204;LuxR family transcriptional regulator;248;27;1,37E-35;9,185185185;3,199308808
;6572032;6572550;;+;-;SCO5997;hypothetical protein;2;29;9,61E-34;0,068965517;-3,857980995
2676046;2676046;2677278;;+;-;SCO2486;nitrite reductase NirB;4;38;3,40E-33;0,105263158;-3,247927513
4292398;;;4292545;+;-;predicted RNA;antisense: SCO3898;18;168;3,10E-32;0,107142857;-3,222392421
;169556;168705;;-;-;SCO0180;hypothetical protein;77;6;1,60E-31;12,83333333;3,68182404
;8284297;8285283;;+;paaA;SCO7471;phenylacetate-CoA oxygenase subunit PaaA;172;20;1,30E-30;8,6;3,10433666
5628076;;;5628272;+;-;predicted RNA;antisense: SCO5179;23;195;1,86E-30;0,117948718;-3,083768358
;205888;204881;204881;-;-;SCO0215;hypothetical protein;51;4;9,42E-30;12,75;3,672425342
6574715;6574715;6573186;6573165;-;-;SCO5998;UDP-N-acetylglucosamine transferase;600;99;1,09E-27;6,060606061;2,59946207
3904262;;;3904247;-;-;predicted RNA;antisense: SCO3535;11;134;8,40E-27;0,082089552;-3,606657572
4486638;;;4486749;+;-;predicted RNA;antisense: SCO4092;16;144;8,42E-27;0,111111111;-3,169925001
4322911;;;4322675;-;-;predicted RNA;antisense: SCO3928;19;150;3,85E-26;0,126666667;-2,980891177
6942661;6942661;6943506;6943506;+;-;SCO6283;hypothetical protein;33;195;4,13E-26;0,169230769;-2,562936194
3903596;;;3903143;-;-;predicted RNA;antisense: SCO3535;29;183;4,36E-26;0,158469945;-2,657718843
4710281;;;4710485;+;-;predicted RNA;-;52;337;4,38E-25;0,154302671;-2,696165063
;5621463;5623244;;+;-;SCO5174;transferase;5;34;9,36E-25;0,147058824;-2,765534746
4778003;4778003;4778245;4778620;+;-;SCO4365;hypothetical protein;120;670;2,45E-23;0,179104478;-2,48112669
3809127;3809106;3808429;3808336;-;-;SCO3446;dehalogenase;18;111;8,62E-23;0,162162162;-2,624490865
3366060;;;3366391;+;-;predicted RNA;antisense: SCO3073;25;160;1,02E-21;0,15625;-2,678071905
;197221;199917;;+;-;SCO0208;pyruvate phosphate dikinase;42;5;1,53E-21;8,4;3,070389328
;5049200;5048667;;-;-;SCO4626;hypothetical protein;3;26;1,73E-21;0,115384615;-3,115477217
4062146;;;4062003;-;-;predicted RNA;-;27;204;1,84E-21;0,132352941;-2,91753784
4390650;4390652;4390861;;+;-;SCO3996;excisionase;2;26;2,18E-21;0,076923077;-3,700439718
838758;;;838854;+;-;predicted RNA;-;35;262;2,57E-21;0,133587786;-2,904139985
;6087374;6087712;6087775;+;-;SCO5584;nitrogen regulatory protein P-II;7;57;4,68E-21;0,122807018;-3,025535092
8027667;8027475;8026306;8025948;-;-;SCO7221;polyketide synthase;4;29;8,21E-21;0,137931034;-2,857980995
;3636856;3637587;;+;-;SCO3288;hypothetical protein;3;27;9,87E-21;0,111111111;-3,169925001
8242282;8242355;8243551;8243954;+;-;SCO7428;flavohemoprotein;208;33;1,58E-20;6,303030303;2,656045599
3641573;;;3641184;-;-;predicted RNA;antisense: SCO3291;34;192;2,07E-20;0,177083333;-2,497499659
8117656;8117650;8117195;8117188;-;-;SCO7310;regulatory protein;3;30;2,30E-19;0,1;-3,321928095
3829773;;;3829968;+;-;predicted RNA;antisense: SCO3469;25;166;4,81E-19;0,15060241;-2,731183242
3856216;;;3856021;-;-;predicted RNA;antisense: SCO3490;25;166;4,81E-19;0,15060241;-2,731183242
88758;88632;87907;87894;-;-;SCO0105;endo-1,4-beta-xylanase;4;30;5,62E-19;0,133333333;-2,906890596
5565369;;;5565067;-;-;predicted RNA;antisense: SCO5117;23;141;5,77E-19;0,163120567;-2,615989396
3876722;;;3876476;-;-;predicted RNA;-;36;215;1,15E-18;0,16744186;-2,578267848
3798498;;;3798405;-;-;predicted RNA;antisense: SCO3436;13;110;1,59E-18;0,118181818;-3,080919995
2947370;2947370;2947104;2947091;-;-;SCO2705;hypothetical protein;9;64;1,00E-17;0,140625;-2,830074999
;4757633;4757436;;-;-;SCO4343;hypothetical protein;2;28;1,01E-17;0,071428571;-3,807354922
4623760;4623766;4624524;4624524;+;-;SCO4215;GntR family transcriptional regulator;195;1099;1,39E-17;0,177434031;-2,494645357
3726940;3726905;3726219;3726077;-;-;SCO3368;peptidase;10;59;1,40E-16;0,169491525;-2,560714954
4386975;;;4387023;+;-;predicted RNA;-;35;260;1,92E-16;0,134615385;-2,893084796
5481391;;;5481674;+;-;predicted RNA;antisense: fumC;21;128;2,31E-16;0,1640625;-2,607682577
4777590;4777590;4777967;4778002;+;-;SCO4364;hypothetical protein;164;840;2,56E-16;0,195238095;-2,356693513
14023;14023;13214;13142;-;-;SCO0011;hypothetical protein;27;134;2,58E-16;0,201492537;-2,311201688
8653485;8653485;8654294;8654366;+;-;SCO7836;hypothetical protein;27;134;2,58E-16;0,201492537;-2,311201688
4360058;;;4360140;+;-;predicted RNA;antisense: SCO3960;20;148;2,95E-16;0,135135135;-2,887525271
;3512904;3512143;;-;-;SCO3204;hypothetical protein;3;24;3,18E-16;0,125;-3
7530991;7531179;7532117;7532141;+;-;SCO6773;peptidase;22;109;8,01E-16;0,201834862;-2,308752706
6132054;;;6131934;-;-;predicted RNA;-;27;179;8,01E-16;0,150837989;-2,728928275
3663911;;;3663890;-;-;predicted RNA;antisense: SCO3312;14;144;1,31E-15;0,097222222;-3,362570079
4620305;4620305;4620667;4620802;+;-;SCO4212;hypothetical protein;63;307;1,96E-15;0,205211726;-2,284814922
4429648;4429648;4427069;4427069;-;-;SCO4031;integral membrane transport protein;8;39;3,04E-15;0,205128205;-2,285402219
4485978;;;4486365;+;-;predicted RNA;-;47;228;3,18E-15;0,206140351;-2,278301162
3871100;3871100;3870261;3870261;-;-;SCO3503;binding protein dependent transport protein;4;31;5,25E-15;0,129032258;-2,95419631
5315487;;;5315074;-;-;predicted RNA;antisense: SCO4882;29;147;5,61E-15;0,197278912;-2,34169135
3831606;;;3831934;+;-;predicted RNA;antisense: SCO3471;30;157;1,13E-14;0,191082803;-2,387730153
7065109;;;7064822;-;-;predicted RNA;-;39;197;1,53E-14;0,197969543;-2,336649601
4759033;4759042;4759623;4759896;+;-;SCO4345;hypothetical protein;25;121;1,81E-14;0,20661157;-2,275007047
3845808;3845782;3844670;3844612;-;-;SCO3481;hypothetical protein;34;164;1,81E-14;0,207317073;-2,270089163
8427475;8427230;8426016;8425951;-;-;SCO7600;alanyl tRNA synthetase;6;34;2,51E-14;0,176470588;-2,502500341
68372;68372;68887;68893;+;-;SCO0080;hypothetical protein;9;57;3,18E-14;0,157894737;-2,662965013
;5048670;5047663;;-;-;SCO4625;hypothetical protein;4;28;3,21E-14;0,142857143;-2,807354922
7402720;7402688;7400592;7400592;-;-;SCO6663;transketolase;779;208;3,52E-14;3,745192308;1,9050398
;7399386;7397608;;-;-;SCO6661;glucose-6-phosphate 1-dehydrogenase;580;150;3,80E-14;3,866666667;1,9510904
;6946379;6945705;6945705;-;-;SCO6286;regulatory protein;15;78;4,19E-14;0,192307692;-2,378511623
8062122;8062135;8063643;8063906;+;-;SCO7252;regulatory protein;24;113;4,43E-14;0,212389381;-2,235216462
8273736;8273736;8274806;8274806;+;-;SCO7460;lipoprotein;11;52;4,69E-14;0,211538462;-2,2410081
;1855990;1855022;1855022;-;-;SCO1738;hypothetical protein;198;36;5,09E-14;5,5;2,459431619
;4754290;4753436;;-;-;SCO4339;reductase;4;30;5,12E-14;0,133333333;-2,906890596
;3052589;3053602;;+;-;SCO2796;cellobiose transport permease;4;25;5,65E-14;0,16;-2,64385619
4454934;;;4454946;+;-;predicted RNA;antisense: SCO4065;11;103;6,14E-14;0,106796117;-3,227068909
3887021;;;3886841;-;-;predicted RNA;antisense: SCO3517;32;177;6,29E-14;0,18079096;-2,46760555
5328120;5328004;5327081;5327006;-;-;SCO4893;transport integral membrane protein;23;106;6,33E-14;0,216981132;-2,204358499
3910251;3910139;3908520;3908520;-;-;SCO3540;proteinase;6;33;1,82E-13;0,181818182;-2,459431619
7400591;7400528;7399383;;-;-;SCO6662;transaldolase;775;194;1,96E-13;3,994845361;1,998139658
1741636;1741561;1740065;1740065;-;-;SCO1626;cytochrome P450;4;24;2,24E-13;0,166666667;-2,584962501
3843402;;;3843428;+;-;predicted RNA;-;13;123;2,66E-13;0,105691057;-3,242074787
970588;970587;968638;;-;sdhA;SCO0923;succinate dehydrogenase flavoprotein subunit;371;87;5,16E-13;4,264367816;2,092331881
3846546;;;3847310;+;-;predicted RNA;antisense: SCO3483 SCO3482;52;236;5,27E-13;0,220338983;-2,182203331
;4385053;4385256;;+;-;SCO3984;hypothetical protein;6;46;7,22E-13;0,130434783;-2,938599455
;838977;840008;;+;-;SCO0792;hypothetical protein;5;29;7,55E-13;0,172413793;-2,5360529
226481;226481;227008;227165;+;-;SCO0238;hypothetical protein;5;32;7,60E-13;0,15625;-2,678071905
6108081;;;6107790;-;-;predicted RNA;antisense: SCO5605;30;151;7,60E-13;0,198675497;-2,331514144
4545644;;;4545782;+;-;predicted RNA;antisense: SCO4131;17;109;8,74E-13;0,155963303;-2,680721484
8212285;8212285;8210201;8210201;-;-;SCO7398;iron-hydroxamate transporter permease subunit;108;21;9,18E-13;5,142857143;2,362570079
;7841403;7840162;;-;-;SCO7050;D-alanyl-D-alanine carboxypeptidase;6;32;2,70E-12;0,1875;-2,415037499
3172877;3172877;3172431;;-;-;SCO2922;hypothetical protein;5;32;4,54E-12;0,15625;-2,678071905
3870217;3870205;3869438;3869392;-;-;SCO3502;3-oxoacyl-ACP reductase;9;47;6,64E-12;0,191489362;-2,38466385
5400522;;;5400834;+;-;predicted RNA;antisense: greA SCO4966;32;152;6,65E-12;0,210526316;-2,247927513
;4981949;4983271;;+;-;SCO4565;NADH dehydrogenase subunit D;13;58;8,39E-12;0,224137931;-2,157541277
3272126;;;3272435;+;-;predicted RNA;antisense: SCO2999;38;174;1,13E-11;0,218390805;-2,195015982
5053395;;;5053863;+;-;predicted RNA;antisense: SCO4631;44;190;1,40E-11;0,231578947;-2,11042399
3846690;3846690;3845809;3845809;-;-;SCO3482;sugar-permease;19;81;1,45E-11;0,234567901;-2,091922489
5551920;5551920;5551480;5551480;-;-;SCO5109;hypothetical protein;12;64;1,47E-11;0,1875;-2,415037499
4306406;4306406;4305060;4305036;-;-;SCO3910;hypothetical protein;25;107;1,95E-11;0,23364486;-2,097610797
26385;26385;25843;25674;-;-;SCO0031;hypothetical protein;28;118;2,34E-11;0,237288136;-2,075288127
3840041;3840033;3838999;;-;-;SCO3478;dehydrogenase;36;153;2,73E-11;0,235294118;-2,087462841
3507907;3507907;3506390;3506358;-;-;SCO3199;transmembrane efflux protein;14;63;2,83E-11;0,222222222;-2,169925001
5585087;5585086;5584655;5584655;-;-;SCO5137;ATP-binding protein;10;55;2,84E-11;0,181818182;-2,459431619
4991249;4991249;4993213;4993213;+;-;SCO4573;NADH dehydrogenase subunit L;33;149;3,33E-11;0,22147651;-2,174774401
4452730;4452730;4452173;4451567;-;-;SCO4061;hypothetical protein;10;53;5,15E-11;0,188679245;-2,40599236
4386523;4386552;4386899;4386974;+;-;SCO3988;hypothetical protein;109;455;6,69E-11;0,23956044;-2,06153841
;4390122;4390649;4390649;+;-;SCO3995;partial replication initiator protein;4;27;8,51E-11;0,148148148;-2,754887502
4761953;;;4762208;+;-;predicted RNA;antisense: SCO4348;43;193;9,97E-11;0,222797927;-2,166192283
3844655;;;3845773;+;-;predicted RNA;antisense: SCO3481;58;250;1,01E-10;0,232;-2,10780329
;6309319;6308921;6308745;-;-;SCO5771;hypothetical protein;12;65;1,21E-10;0,184615385;-2,437405312
;4662919;4661315;;-;-;SCO4253;hypothetical protein;165;34;1,32E-10;4,852941176;2,278859373
;8213276;8212293;8212286;-;-;SCO7399;binding-protein-dependent transport lipoprotein;225;48;1,49E-10;4,6875;2,22881869
8326377;8326355;8325357;8325308;-;-;SCO7511;glyceraldehyde 3-phosphate dehydrogenase;579;144;2,29E-10;4,020833333;2,007494537
3125634;3125634;3126614;;+;-;SCO2871;hypothetical protein;12;53;2,35E-10;0,226415094;-2,142957954
3084103;3084060;3083158;;-;-;SCO2823;decarboxylase;15;63;2,49E-10;0,238095238;-2,070389328
;7396683;7395031;7395030;-;pgi;SCO6659;glucose-6-phosphate isomerase;441;118;2,54E-10;3,737288136;1,901991796
5682763;;;5682526;-;-;predicted RNA;antisense: SCO5223;33;153;2,71E-10;0,215686275;-2,212993723
;4064868;4064575;;-;-;SCO3680;hypothetical protein;3;25;3,32E-10;0,12;-3,058893689
3853724;;;3853357;-;-;predicted RNA;antisense: SCO3487;50;200;3,93E-10;0,25;-2
3831148;;;3831191;+;-;predicted RNA;antisense: SCO3470;12;97;4,28E-10;0,12371134;-3,014950341
4924804;;;4924518;-;-;predicted RNA;antisense: SCO4503;39;170;4,48E-10;0,229411765;-2,123988717
3796432;3796515;3797402;3797402;+;-;SCO3435;transcriptional regulator;61;250;4,63E-10;0,244;-2,035046947
3867695;3867689;3865647;3865637;-;-;SCO3500;hypothetical protein;9;39;5,41E-10;0,230769231;-2,115477217
2973471;;;2973618;+;-;predicted RNA;antisense: SCO2726;50;222;5,41E-10;0,225225225;-2,150559677
2271032;;;2270969;-;-;predicted RNA;-;34;192;5,72E-10;0,177083333;-2,497499659
3187048;3187042;3186380;3186380;-;-;SCO2935;transcriptional regulator;16;70;5,97E-10;0,228571429;-2,129283017
4387525;;;4387108;-;-;predicted RNA;antisense: SCO3989;105;430;5,98E-10;0,244186047;-2,033947332
4411942;4412004;4412957;4412957;+;-;SCO4016;hypothetical protein;39;160;6,01E-10;0,24375;-2,036525876
4625310;;;4625350;+;-;predicted RNA;antisense: SCO4217;18;136;6,67E-10;0,132352941;-2,91753784
;3873454;3872165;;-;-;SCO3505;substrate binding protein;7;33;6,92E-10;0,212121212;-2,237039197
3904403;;;3904315;-;-;predicted RNA;antisense: SCO3535;23;130;7,22E-10;0,176923077;-2,498805857
5520833;5520857;5521741;;+;-;SCO5079;hypothetical protein;18;73;7,85E-10;0,246575342;-2,019899557
6108415;6108415;6108125;6108082;-;-;SCO5606;hypothetical protein;108;420;9,02E-10;0,257142857;-1,959358016
4982413;;;4981912;-;-;predicted RNA;antisense: SCO4565 SCO4564;74;296;9,73E-10;0,25;-2
159305;;;159371;+;-;predicted RNA;-;356;43;1,07E-09;8,279069767;3,049468676
4064612;4064888;4065388;4065452;+;-;SCO3681;hypothetical protein;10;52;1,29E-09;0,192307692;-2,378511623
;735845;736192;736192;+;-;SCO0693;hypothetical protein;6;37;1,30E-09;0,162162162;-2,624490865
7846514;;;7846651;+;-;predicted RNA;antisense: SCO7057;28;150;1,46E-09;0,186666667;-2,421463768
3847649;3847649;3846702;3846702;-;-;SCO3483;integral membrane transport protein;9;41;1,57E-09;0,219512195;-2,187627003
4508765;;;4508522;-;-;predicted RNA;antisense: SCO4109;47;197;2,75E-09;0,23857868;-2,067462968
;150579;151571;151571;+;-;SCO0162;hypothetical protein;74;13;2,84E-09;5,692307692;2,509013647
4067482;4067394;4066804;4066804;-;-;SCO3684;hypothetical protein;22;91;2,94E-09;0,241758242;-2,048363022
;989560;990210;;+;-;SCO0944;hypothetical protein;5;26;3,13E-09;0,192307692;-2,378511623
;5648112;5648435;5648492;+;-;SCO5191;hypothetical protein;436;1912;3,13E-09;0,228033473;-2,132682483
4091341;;;4091638;+;-;predicted RNA;antisense: SCO3716;45;182;3,28E-09;0,247252747;-2,015941544
4353010;4353010;4352462;4352462;-;-;SCO3953;RNA 2'-phosphotransferase-like protein;54;207;4,00E-09;0,260869565;-1,938599455
3153114;;;3152809;-;-;predicted RNA;antisense: SCO2897;57;217;6,95E-09;0,262672811;-1,928661218
7286956;;;7286623;-;-;predicted RNA;antisense: SCO6579;57;216;7,48E-09;0,263888889;-1,921997488
262154;;;261955;-;-;predicted RNA;antisense: SCO0271;28;131;8,25E-09;0,213740458;-2,226068079
;8283623;8282277;8282277;-;-;SCO7469;phenylacetate-CoA ligase;52;9;8,41E-09;5,777777778;2,530514717
6139869;6139869;6139402;6139401;-;-;SCO5640;hypothetical protein;8;41;8,41E-09;0,195121951;-2,357552005
5151188;;;5151303;+;-;predicted RNA;antisense: SCO4738;29;149;8,41E-09;0,194630872;-2,361187525
;4983268;4984140;;+;-;SCO4566;NADH dehydrogenase subunit E;10;44;8,56E-09;0,227272727;-2,137503524
4306579;;;4306814;+;-;predicted RNA;-;60;232;8,80E-09;0,25862069;-1,9510904
961534;961534;962553;962576;+;-;SCO0917;oxygenase;7;32;9,81E-09;0,21875;-2,192645078
7060363;7060375;7061838;;+;-;SCO6393;transposase;9;37;1,32E-08;0,243243243;-2,039528364
;4357847;4358758;4358769;+;-;SCO3958;ABC transporter ATP-binding protein;23;90;1,33E-08;0,255555556;-1,96829114
3802462;;;3802344;-;-;predicted RNA;antisense: SCO3439;26;137;1,41E-08;0,189781022;-2,397592365
6863275;6863275;6862307;6862302;-;-;SCO6239;sigma factor;11;45;1,44E-08;0,244444444;-2,032421478
;968641;967895;967806;-;-;SCO0922;succinate dehydrogenase/fumarate reductase iron-sulfur subunit;315;71;1,54E-08;4,436619718;2,149460899
4512242;;;4512037;-;-;predicted RNA;antisense: SCO4112;35;153;1,61E-08;0,22875817;-2,128104826
2342452;2342474;2344027;2344165;+;-;SCO2179;leucyl aminopeptidase;406;116;1,68E-08;3,5;1,807354922
8262071;8262071;8261520;8261520;-;-;SCO7447;acetyltranferase;35;132;1,90E-08;0,265151515;-1,915111102
4324267;;;4323974;-;-;predicted RNA;-;48;184;1,95E-08;0,260869565;-1,938599455
1951577;;;1951689;+;-;predicted RNA;antisense: moaA;21;107;2,00E-08;0,196261682;-2,349149564
3614339;3614834;3615034;3615388;+;-;SCO3267;hypothetical protein;10;53;2,17E-08;0,188679245;-2,40599236
6015190;6015259;6016302;6016302;+;-;SCO5522;3-isopropylmalate dehydrogenase;17;65;2,26E-08;0,261538462;-1,934904972
3675111;3675442;3675975;3675975;+;-;SCO3323;RNA polymerase sigma factor;7;37;2,28E-08;0,189189189;-2,402098444
4035809;4035809;4035252;4035246;-;-;SCO3656;hypothetical protein;17;69;3,05E-08;0,246376812;-2,021061616
4407767;;;4407648;-;-;predicted RNA;-;55;237;3,25E-08;0,232067511;-2,107383535
;7397611;7396676;;-;-;SCO6660;hypothetical protein;457;128;3,61E-08;3,5703125;1,836050355
;3381339;3381094;;-;-;SCO3088;hypothetical protein;4;25;3,80E-08;0,16;-2,64385619
3382330;3382330;3384861;3384871;+;-;SCO3090;ABC transporter;24;92;3,99E-08;0,260869565;-1,938599455
4385348;;;4385254;-;-;predicted RNA;antisense: SCO3985;24;125;4,01E-08;0,192;-2,380821784
2000935;2000962;2001804;2002172;+;-;SCO1867;hydroxylase;2169;813;4,57E-08;2,667896679;1,415702796
4359844;;;4359978;+;-;predicted RNA;antisense: SCO3960;43;189;4,89E-08;0,227513228;-2,13597767
3830800;;;3831001;+;-;predicted RNA;antisense: SCO3470;27;121;5,20E-08;0,223140496;-2,163975735
4757947;;;4758020;+;-;predicted RNA;antisense: SCO4344;33;168;6,36E-08;0,196428571;-2,347923303
4550161;4550161;4551054;;+;-;SCO4135;lipoprotein;8;35;6,58E-08;0,228571429;-2,129283017
7395029;7395029;7394148;7394137;-;-;SCO6658;6-phosphogluconate dehydrogenase;799;251;6,58E-08;3,183266932;1,670508139
