Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGHM5;qValue;fold;log2(fold)
5113628;5113748;5113951;5113991;+;-;SCO4684;cold shock protein;65044;4406;0;14,76259646;3,883874581
5111657;5111657;5111866;;+;-;SCO4682;tautomerase;359;16;1,50E-306;22,4375;4,487840034
5121940;;;5121646;-;-;predicted RNA;antisense: SCO4697;529;31;6,51E-299;17,06451613;4,092927602
5113592;;;5113627;+;-;predicted RNA;-;18766;1401;1,14E-274;13,39471806;3,74359231
3764068;;;3763898;-;-;predicted RNA;-;12;287;1,03E-250;0,041811847;-4,579944426
;5119650;5119892;;+;-;SCO4694;hypothetical protein;319;16;1,87E-241;19,9375;4,317412614
;5109769;5109960;5110226;+;-;SCO4679;hypothetical protein;2677;199;2,68E-240;13,45226131;3,749776803
5121104;5121109;5122923;;+;-;SCO4697;hypothetical protein;750;66;1,29E-227;11,36363636;3,506352666
5117721;;;5117537;-;-;predicted RNA;antisense: SCO4690 SCO4689;273;12;1,83E-226;22,75;4,50779464
5111867;;;5111976;+;-;predicted RNA;-;408;18;2,30E-220;22,66666667;4,502500341
5116511;;;5116752;+;-;predicted RNA;antisense: SCO4688;714;52;6,69E-214;13,73076923;3,779340546
5111977;5112014;5113399;5113409;+;-;SCO4683;glutamate dehydrogenase;1164;97;2,08E-210;12;3,584962501
5127569;;;5126750;-;-;predicted RNA;antisense: SCO4700;671;53;7,68E-209;12,66037736;3,662248502
5118609;5118613;5119260;5119356;+;-;SCO4692;hypothetical protein;1092;104;4,67E-202;10,5;3,392317423
5120982;;;5121103;+;-;predicted RNA;-;401;19;9,32E-199;21,10526316;4,399530913
5116320;5116320;5115961;5114885;-;-;SCO4687;hypothetical protein;4903;427;4,39E-173;11,4824356;3,521356787
5107239;5107239;5106331;5106331;-;-;SCO4675;hypothetical protein;335;33;5,89E-173;10,15151515;3,343623166
1469074;;;1469197;+;-;predicted RNA;antisense: rrnC;25;446;2,23E-148;0,056053812;-4,15704371
1916952;;;1917075;+;-;predicted RNA;antisense: rrnB;25;446;2,23E-148;0,056053812;-4,15704371
3297112;;;3297235;+;-;predicted RNA;antisense: SCOr08;25;446;2,23E-148;0,056053812;-4,15704371
3685885;;;3686008;+;-;predicted RNA;antisense: rrnF;25;446;2,23E-148;0,056053812;-4,15704371
4535317;;;4535194;-;-;predicted RNA;antisense: rrnA;25;446;2,23E-148;0,056053812;-4,15704371
6274641;;;6274518;-;-;predicted RNA;antisense: rrnE;25;446;2,23E-148;0,056053812;-4,15704371
5100036;;;5099985;-;-;predicted RNA;antisense: SCO4669;225;8;1,66E-146;28,125;4,813781191
5110801;5110801;5109911;5109911;-;-;SCO4680;DNA-binding protein;391;39;3,50E-138;10,02564103;3,325622578
5119357;5119357;5119617;5119617;+;-;SCO4693;hypothetical protein;649;61;8,97E-138;10,63934426;3,41133733
;5114147;5115568;;+;-;SCO4685;DEAD/DEAH box helicase;190;21;1,89E-131;9,047619048;3,177538186
8355513;8355539;8357758;8357764;+;-;SCO7536;hypothetical protein;55;662;1,60E-110;0,083081571;-3,589327693
5336536;5336536;5336333;5336321;-;-;SCO4903;hypothetical protein;157;1670;2,84E-110;0,094011976;-3,411011638
5104845;5104845;5103076;5103076;-;-;SCO4672;hypothetical protein;232;25;2,58E-100;9,28;3,214124805
;5120514;5120981;;+;-;SCO4696;hypothetical protein;248;24;1,39E-98;10,33333333;3,36923381
5115614;5115614;5115925;5115925;+;-;SCO4686;hypothetical protein;345;36;1,66E-86;9,583333333;3,26052755
4729548;4729548;4729769;4729957;+;-;SCO4317;hypothetical protein;56;575;6,45E-83;0,097391304;-3,360063224
;5102990;5102043;5102043;-;-;SCO4671;LysR family transcriptional regulator;137;15;7,26E-83;9,133333333;3,191141487
5114034;;;5114146;+;-;predicted RNA;-;491;45;2,14E-73;10,91111111;3,447726118
5118581;;;5118608;+;-;predicted RNA;-;486;29;7,16E-65;16,75862069;4,066831508
5105881;5105881;5106318;;+;-;SCO4674;hypothetical protein;127;13;8,14E-63;9,769230769;3,288244969
5111539;;;5111491;-;-;predicted RNA;antisense: SCO4681;215;12;4,43E-61;17,91666667;4,163230349
;7475026;7472768;7472768;-;-;SCO6719;UvrA-like ABC transporter;44;5;4,28E-60;8,8;3,137503524
5119618;;;5119649;+;-;predicted RNA;-;437;29;5,68E-52;15,06896552;3,913508474
5117050;5116728;5116372;5116321;-;-;SCO4688;hypothetical protein;725;106;4,99E-49;6,839622642;2,77391673
5117228;5117228;5117560;5117633;+;-;SCO4689;hypothetical protein;299;44;1,93E-44;6,795454545;2,764570056
5124347;;;5122848;-;-;predicted RNA;antisense: SCO4699 SCO4698;5475;871;9,65E-43;6,285878301;2,652114341
;7476671;7475037;7475037;-;-;SCO6720;ABC transporter;94;17;7,90E-40;5,529411765;2,46712601
;23316;23831;;+;-;SCO0026;hypothetical protein;50;5;2,17E-37;10;3,321928095
4592465;;;4593461;+;-;predicted RNA;antisense: SCO4183;6636;1217;8,30E-35;5,452752671;2,446984718
373995;;;372999;-;-;predicted RNA;antisense: SCO0368;6633;1216;9,24E-35;5,454769737;2,447518297
;5117928;5118521;5118521;+;-;SCO4691;hypothetical protein;43;4;1,46E-34;10,75;3,426264755
5113410;;;5113464;+;-;predicted RNA;-;274;24;4,93E-34;11,41666667;3,513069582
6139858;;;6140891;+;-;predicted RNA;antisense: SCO5640 SCO5641 SCO5642;6429;1204;1,62E-31;5,339700997;2,416758959
4786451;;;4785453;-;-;predicted RNA;antisense: SCO4370;5652;1148;1,14E-29;4,923344948;2,299638824
4729958;;;4730129;+;-;predicted RNA;-;34;270;8,75E-29;0,125925926;-2,989352756
4397825;4397899;4398372;4398379;+;-;SCO4005;RNA polymerase sigma factor;44;276;1,87E-28;0,15942029;-2,649092838
5115926;;;5115971;+;-;predicted RNA;antisense: SCO4687;278;26;3,09E-27;10,69230769;3,418501355
;5122836;5123855;;+;-;SCO4698;IS1652 transposase;318;73;1,13E-26;4,356164384;2,123058396
2859931;;;2858933;-;-;predicted RNA;antisense: SCO2632;4928;1089;1,30E-25;4,525252525;2,177998302
8624180;;;8623211;-;-;predicted RNA;antisense: SCO7803;4490;1023;1,57E-25;4,389051808;2,1339093
;1886502;1885483;;-;-;SCO1766;glycohydrolase;88;17;7,21E-25;5,176470588;2,371968777
8355486;;;8355512;+;-;predicted RNA;-;32;339;5,53E-23;0,09439528;-3,405141463
1442748;1442748;1442209;1442209;-;-;SCO1364;hypothetical protein;23;140;1,07E-21;0,164285714;-2,605721061
5117351;;;5117336;-;-;predicted RNA;antisense: SCO4689;246;21;9,31E-20;11,71428571;3,550197083
5117634;5117634;5117876;5117876;+;-;SCO4690;hypothetical protein;234;45;9,67E-20;5,2;2,378511623
6484359;;;6484899;+;-;predicted RNA;-;338;1852;1,06E-15;0,1825054;-2,453988947
4593487;4593478;4592459;4592459;-;-;SCO4183;transposase;237;67;5,62E-15;3,537313433;1,822654058
1570913;1570932;1571951;1571951;+;-;SCO1471;transposase;238;68;6,95E-15;3,5;1,807354922
1658656;1658571;1658389;1658284;-;-;SCO1550;small membrane protein;1255;6815;7,14E-15;0,184152605;-2,441026293
1887231;1887218;1886499;;-;-;SCO1767;DNA hydrolase;167;45;2,53E-14;3,711111111;1,891851196
4785432;4785438;4786457;4786457;+;-;SCO4370;transposase;231;67;3,34E-14;3,447761194;1,785659851
372976;373045;374001;374001;+;-;SCO0368;transposase;218;63;9,97E-13;3,46031746;1,790904401
2858909;2858918;2859937;2859937;+;-;SCO2632;transposase;220;66;1,06E-12;3,333333333;1,736965594
77246;77315;78271;78271;+;-;SCO0091;IS1652 transposase;219;64;1,25E-12;3,421875;1,77478706
;6140843;6139887;6139887;-;-;SCO5641;transposase;221;65;1,32E-12;3,4;1,765534746
;1849756;1850256;;+;-;SCO1730;hypothetical protein;63;13;4,16E-12;4,846153846;2,276840205
90043;90043;89486;;-;-;SCO0107;aminoglycoside nucleotidyltransferase;33;5;1,08E-11;6,6;2,722466024
6692349;6692311;6690041;6690041;-;-;SCO6091;hypothetical protein;18;78;2,04E-10;0,230769231;-2,115477217
;1207772;1209553;;+;-;SCO1148;ABC transporter;41;12;4,79E-10;3,416666667;1,772589504
;5849216;5849800;;+;-;SCO5379;hypothetical protein;4;23;5,33E-10;0,173913043;-2,523561956
2374263;2374319;2375350;2375405;+;-;SCO2210;glutamine synthetase;29;116;1,03E-09;0,25;-2
;8627069;8626338;;-;-;SCO7806;DNA-binding protein;55;13;1,20E-09;4,230769231;2,080919995
1696801;1696801;1696361;;-;-;SCO1586;hypothetical protein;56;12;8,48E-09;4,666666667;2,222392421
;428615;429403;429403;+;-;SCO0408;methyltransferase;113;37;1,23E-08;3,054054054;1,610725597
1205898;1205898;1207775;;+;-;SCO1147;ABC transporter transmembrane subunit;37;11;2,96E-08;3,363636364;1,750021747
;4009271;4009780;4009786;+;-;SCO3631;hypothetical protein;158;53;3,79E-08;2,981132075;1,575860294
4355990;4355990;4356952;4356964;+;-;SCO3956;ABC transporter ATP-binding protein;44;170;3,79E-08;0,258823529;-1,949959318
;217268;216834;;-;-;SCO0225;hypothetical protein;96;27;8,85E-08;3,555555556;1,830074999
;3038344;3038898;;+;-;SCO2784;aceytltranferase;40;152;2,36E-07;0,263157895;-1,925999419
;4206249;4207097;;+;-;SCO3825;ABC-transporter transmembrane protein;51;15;3,89E-07;3,4;1,765534746
5177957;5177957;5177256;5177256;-;-;SCO4765;hypothetical protein;201;64;4,05E-07;3,140625;1,651051691
4960549;4960649;4961074;4961107;+;-;SCO4544;hypothetical protein;156;596;4,05E-07;0,261744966;-1,933766302
1738998;1738998;1738408;1738408;-;-;SCO1624;acetyltransferase;112;38;5,91E-07;2,947368421;1,559427409
8623223;8623230;8624186;8624186;+;-;SCO7803;insertion element transposase;151;50;6,58E-07;3,02;1,59454855
8433408;8433408;8434529;;+;-;SCO7606;amino acid binding protein;76;28;9,56E-07;2,714285714;1,440572591
4628345;4628357;4628737;4629177;+;-;SCO4222;hypothetical protein;336;108;9,89E-07;3,111111111;1,637429921
8061733;8061733;8060696;8060696;-;-;SCO7251;hypothetical protein;7;31;1,22E-06;0,225806452;-2,146841388
3648555;3648548;3647355;3647245;-;-;SCO3299;hypothetical protein;197;87;2,08E-06;2,264367816;1,179108324
;2125581;2124799;2124799;-;-;SCO1986;hypothetical protein;46;14;3,72E-06;3,285714286;1,716207034
;6087374;6087712;6087754;+;-;SCO5584;nitrogen regulatory protein P-II;7;35;4,72E-06;0,2;-2,321928095
3412387;3412299;3411511;;-;-;SCO3111;ABC transporter ATP-binding protein;73;255;6,96E-06;0,28627451;-1,804528878
6025338;6025338;6026690;6026711;+;-;SCO5530;hypothetical protein;23;78;7,19E-06;0,294871795;-1,761840263
5127294;5127609;5127917;5127933;+;rpsJ;SCO4701;30S ribosomal protein S10;10118;3887;7,52E-06;2,60303576;1,380195131
3985240;3985146;3983677;3983418;-;-;SCO3607;hypothetical protein;320;119;8,70E-06;2,68907563;1,427110332
5378899;5378899;5379939;5380024;+;-;SCO4945;dehydrogenase;76;30;1,10E-05;2,533333333;1,341036918
1848849;1848849;1849775;;+;-;SCO1729;hypothetical protein;76;29;1,27E-05;2,620689655;1,389946518
3753213;3753213;3752539;;-;-;SCO3389;two component system response regulator;62;20;1,30E-05;3,1;1,632268215
4916406;4916551;4917873;4917878;+;-;SCO4498;proton transport protein;148;66;1,44E-05;2,242424242;1,165059246
;8283623;8282277;8282277;-;-;SCO7469;phenylacetate-CoA ligase;52;20;2,00E-05;2,6;1,378511623
7065729;7065729;7065214;7065214;-;-;SCO6399;hypothetical protein;136;54;2,53E-05;2,518518519;1,332575339
4637471;;;4637330;-;-;predicted RNA;-;310;109;3,07E-05;2,844036697;1,50794008
;2651103;2653031;2653390;+;-;SCO2464;ABC transporter;103;48;3,63E-05;2,145833333;1,101538026
;3720033;3719200;;-;-;SCO3360;hypothetical protein;66;25;4,53E-05;2,64;1,40053793
;216844;215807;215807;-;-;SCO0224;hypothetical protein;42;15;5,32E-05;2,8;1,485426827
3754569;3754603;3755691;3755691;+;-;SCO3391;hypothetical protein;33;107;7,23E-05;0,308411215;-1,697072867
;6527871;6529472;;+;-;SCO5957;transporter;42;140;7,94E-05;0,3;-1,736965594
;2126165;2126716;2126739;+;-;SCO1988;hypothetical protein;129;53;8,56E-05;2,433962264;1,283306801
8284143;8284132;8283620;;-;-;SCO7470;phenylacetic acid degradation protein PaaI;188;71;8,86E-05;2,647887324;1,404841732
;7999371;7999105;7999105;-;-;SCO7195;hypothetical protein;34;7;1,06E-04;4,857142857;2,280107919
1051433;1051613;1052656;;+;-;SCO0996;lipoprotein;81;32;1,06E-04;2,53125;1,339850003
1055423;1055401;1054754;1054664;-;-;SCO0999;superoxide dismutase;1508;792;1,06E-04;1,904040404;0,929064093
;616107;615154;;-;-;SCO0573;hypothetical protein;28;9;1,33E-04;3,111111111;1,637429921
3122091;3122091;3122933;3122952;+;-;SCO2865;regulatory protein;73;29;1,33E-04;2,517241379;1,331843564
3382330;3382330;3384861;3384868;+;-;SCO3090;ABC transporter;24;76;1,56E-04;0,315789474;-1,662965013
;3411514;3408950;3408914;-;-;SCO3110;ABC transporter;45;159;1,59E-04;0,283018868;-1,821029859
274595;274595;274101;;-;-;SCO0283;hypothetical protein;31;8;1,63E-04;3,875;1,95419631
;1678681;1677149;1677149;-;-;SCO1567;transmembrane-transport protein;126;63;1,81E-04;2;1
;2962235;2962678;;+;-;SCO2719;hypothetical protein;28;7;2,13E-04;4;2
393498;393498;394961;394976;+;-;SCO0379;catalase;108;50;2,28E-04;2,16;1,111031312
;453370;454374;;+;-;SCO0433;transcriptional regulator;27;9;2,34E-04;3;1,584962501
3752478;3752478;3751837;3751837;-;-;SCO3388;TmrB-like protein;36;11;2,34E-04;3,272727273;1,710493383
;2655114;2656115;;+;-;SCO2467;hypothetical protein;34;12;2,34E-04;2,833333333;1,502500341
2942827;2942786;2942208;2942156;-;-;SCO2697;hypothetical protein;78;30;2,47E-04;2,6;1,378511623
4680236;4680236;4679364;4679364;-;-;SCO4264;aminoglycoside phosphotransferase;160;71;2,48E-04;2,253521127;1,172180975
2125668;2125668;2126168;;+;-;SCO1987;hypothetical protein;99;39;2,59E-04;2,538461538;1,343954401
;696248;697354;697354;+;-;SCO0659;DeoR family transcriptional regulator;53;22;2,98E-04;2,409090909;1,268488836
2059304;2059304;2060092;;+;-;SCO1927;aminoglycoside acetyltransferase;45;16;3,05E-04;2,8125;1,491853096
;4395579;4395100;;-;-;SCO4000;hypothetical protein;26;6;3,13E-04;4,333333333;2,115477217
5075203;5075273;5076121;5076213;+;-;SCO4651;lipoprotein;647;340;3,21E-04;1,902941176;0,928230966
1496967;1496950;1495964;1495964;-;-;SCO1406;hypothetical protein;177;88;3,54E-04;2,011363636;1,008173931
4956636;4956636;4956301;4955913;-;-;SCO4538;hypothetical protein;228;99;6,25E-04;2,303030303;1,203533394
3130810;3130825;3131211;3131211;+;-;SCO2877;hypothetical protein;126;52;6,39E-04;2,423076923;1,276840205
3381347;3381453;3382223;3382305;+;-;SCO3089;ABC transporter ATP-binding protein;27;82;6,91E-04;0,329268293;-1,602664502
8555357;8555357;8556118;8556118;+;-;SCO7721;hypothetical protein;45;17;7,44E-04;2,647058824;1,404390255
;4357847;4358758;4358758;+;-;SCO3958;ABC transporter ATP-binding protein;23;71;7,81E-04;0,323943662;-1,626185163
;3511595;3512110;3512110;+;-;SCO3203;phosphinothricin acetyltransferase;60;22;7,84E-04;2,727272727;1,447458977
5634715;;;5634544;-;-;predicted RNA;antisense: SCO5183;125;371;8,19E-04;0,336927224;-1,569491092
4433481;4433457;4433281;;-;-;SCO4037;small membrane protein;862;426;8,46E-04;2,023474178;1,016834439
954429;954429;953440;;-;-;SCO0909;hypothetical protein;42;17;9,37E-04;2,470588235;1,304854582
8292117;8292117;8291215;8291203;-;-;SCO7478;phosphotransferase;83;37;0,001022041;2,243243243;1,165586066
8284287;8284297;8285283;;+;paaA;SCO7471;phenylacetate-CoA oxygenase subunit PaaA;172;90;0,001043452;1,911111111;0,934411658
2803114;2803160;2804890;2804900;+;-;SCO2591;hypothetical protein;340;200;0,001043452;1,7;0,765534746
7476878;;;7476715;-;-;predicted RNA;antisense: SCO6721;367;166;0,001074256;2,210843373;1,144596821
1679247;1679247;1678678;;-;-;SCO1568;TetR family transcriptional regulator;230;109;0,001167673;2,110091743;1,077305726
;1228966;1230234;;+;-;SCO1168;hypothetical protein;36;15;0,001224003;2,4;1,263034406
7184681;7184681;7184289;;-;-;SCO6491;hypothetical protein;68;24;0,001242568;2,833333333;1,502500341
3877697;3877697;3878659;3878659;+;-;SCO3509;hypothetical protein;45;19;0,001248397;2,368421053;1,243925583
;462099;462857;;+;-;SCO0442;hypothetical protein;51;21;0,001382741;2,428571429;1,280107919
2074160;2074144;2073377;2073241;-;-;SCO1940;hypothetical protein;74;33;0,001451231;2,242424242;1,165059246
;3077357;3075453;3075453;-;-;SCO2817;hypothetical protein;37;17;0,001464983;2,176470588;1,121990524
2472715;2472748;2472915;2472972;+;-;SCO2303;hypothetical protein;2682;1425;0,001464983;1,882105263;0,912347318
779882;779826;779131;778730;-;-;SCO0736;hypothetical protein;733;409;0,001529472;1,792176039;0,841712355
5818795;;;5818721;-;-;SCOt55;Arg tRNA;204;62;0,001548196;3,290322581;1,718229032
;2049519;2049689;;+;-;SCO1914;hypothetical protein;45;11;0,001574816;4,090909091;2,032421478
1215927;1215927;1214956;;-;-;SCO1154;hypothetical protein;37;15;0,001833613;2,466666667;1,30256277
4729286;4729279;4727234;4727233;-;-;SCO4316;ATP/GTP binding protein;80;43;0,002005008;1,860465116;0,89566334
;2644906;2644511;2644483;-;-;SCO2457;lipoprotein;134;60;0,002070677;2,233333333;1,159198595
461350;461350;462102;;+;-;SCO0441;LamB/YcsF family protein;89;42;0,002230558;2,119047619;1,083416008
3963111;;;3963184;+;-;SCOt29;Pro tRNA;253;86;0,002230558;2,941860465;1,55672882
7986335;7986335;7986640;7986771;+;-;SCO7186;hypothetical protein;9;36;0,002249127;0,25;-2
4356969;4356969;4357850;;+;-;SCO3957;hypothetical protein;34;97;0,002249127;0,350515464;-1,512450001
6141598;6141583;6140819;;-;-;SCO5642;hypothetical protein;175;88;0,00255699;1,988636364;0,991779493
2511913;2511913;2512446;2512446;+;-;SCO2343;acetyltransferase;61;24;0,002823479;2,541666667;1,345774837
3035634;3035641;3037083;3037083;+;-;SCO2782;pyridoxal-dependent decarboxylase;41;116;0,002859374;0,353448276;-1,500428991
6419263;6419308;6419961;6419961;+;-;SCO5862;two-component regulator CutR;78;216;0,002859374;0,361111111;-1,469485283
532325;532325;530970;;-;-;SCO0498;peptide monooxygenase;16;47;0,002871602;0,340425532;-1,554588852
3907269;3907269;3908108;3908108;+;-;SCO3539;transposase;37;14;0,003335368;2,642857143;1,402098444
2439746;2439746;2438127;2438127;-;-;SCO2270;hypothetical protein;42;119;0,003335368;0,352941176;-1,502500341
;6530343;6529489;6529419;-;-;SCO5958;cobalt transport system ATP binding protein;65;30;0,003540707;2,166666667;1,115477217
2703882;2703843;2702461;2702222;-;-;SCO2504;glycyl-tRNA synthetase;1049;1011;0,003546106;1,037586548;0,053231681
609517;609517;610356;610356;+;-;SCO0567;insertion element transposase;37;14;0,003577892;2,642857143;1,402098444
2356391;2356391;2355882;2355797;-;-;SCO2189;acetyltransferase;89;40;0,0035834;2,225;1,153805336
31131;31131;30379;30379;-;-;SCO0037;sigma factor;47;20;0,003739313;2,35;1,232660757
3826473;3826473;3827312;3827312;+;-;SCO3467;transposase;37;14;0,003836166;2,642857143;1,402098444
3825371;3825371;3826210;3826210;+;-;SCO3466;transposase;37;14;0,00387179;2,642857143;1,402098444
;1056995;1055883;;-;-;SCO1000;integrase;44;20;0,00387179;2,2;1,137503524
4756861;4756861;4757403;4757596;+;-;SCO4342;hypothetical protein;68;29;0,003879634;2,344827586;1,229481846
7676473;7676473;7675634;7675634;-;-;SCO6910;insertion element transposase;36;14;0,004094685;2,571428571;1,362570079
5805809;5805823;5807334;5807590;+;-;SCO5332;hypothetical protein;84;43;0,004094685;1,953488372;0,966052668
4440542;4440542;4439817;4439817;-;-;SCO4048;hypothetical protein;115;328;0,004301094;0,350609756;-1,512061954
82441;82441;81602;81602;-;-;SCO0098;transposase;36;14;0,004435589;2,571428571;1,362570079
1237012;1237012;1238535;1238535;+;-;SCO1174;aldehyde dehydrogenase;31;14;0,004437694;2,214285714;1,146841388
1470169;;;1470219;+;-;predicted RNA;antisense: rrnC;62;222;0,004576446;0,279279279;-1,840219556
1918047;;;1918097;+;-;predicted RNA;antisense: rrnB;62;222;0,004576446;0,279279279;-1,840219556
3298207;;;3298257;+;-;predicted RNA;antisense: SCOr08;62;222;0,004576446;0,279279279;-1,840219556
3686980;;;3687030;+;-;predicted RNA;antisense: rrnF;62;222;0,004576446;0,279279279;-1,840219556
4534222;;;4534172;-;-;predicted RNA;antisense: rrnA;62;222;0,004576446;0,279279279;-1,840219556
5971531;5971544;5971837;5971843;+;-;SCO5485;small hydrophobic membrane protein;61;165;0,004593682;0,36969697;-1,435584877
648876;648876;649739;649739;+;-;SCO0609;hypothetical protein;85;40;0,00474623;2,125;1,087462841
1522300;1522328;1522765;1522766;+;-;SCO1426;hypothetical protein;86;37;0,00478901;2,324324324;1,216811389
6069794;6069794;6069967;6069982;+;rpmF;SCO5571;50S ribosomal protein L32;4852;3084;0,00480667;1,573281453;0,653776785
78265;77314;76895;76895;-;-;SCO0090;transposase;76;31;0,004810694;2,451612903;1,293731203
8077039;8077041;8077436;8077436;+;-;SCO7267;hypothetical protein;92;40;0,004810694;2,3;1,201633861
5061508;5061599;5061763;5061770;+;rpmG;SCO4635;50S ribosomal protein L33;5683;3584;0,004823435;1,585658482;0,665082078
;365551;364559;;-;-;SCO0360;LacI family DNA-binding transcriptional repressor;28;11;0,00483161;2,545454545;1,347923303
6544981;6544981;6547509;6547643;+;-;SCO5973;phosphatase;54;29;0,005086205;1,862068966;0,896906507
;1144295;1143786;1143786;-;-;SCO1083;flavin-dependent reductase;26;8;0,005150381;3,25;1,700439718
;3442976;3442302;3442302;-;-;SCO3144;two-component system response regulator;37;14;0,005163658;2,642857143;1,402098444
218019;218019;217315;217315;-;-;SCO0226;hypothetical protein;174;90;0,005209596;1,933333333;0,9510904
5197645;5197710;5199356;5199438;+;-;SCO4779;Ser/Thr protein kinase;67;32;0,005574094;2,09375;1,06608919
3150744;3150744;3149938;;-;-;SCO2896;hypothetical protein;56;26;0,00560913;2,153846154;1,106915204
;5052724;5051465;;-;-;SCO4630;hypothetical protein;70;31;0,00560913;2,258064516;1,175086707
5937458;5937458;5935476;;-;-;SCO5451;ABC transporter;266;168;0,005660342;1,583333333;0,662965013
;3097464;3099401;3100068;+;-;SCO2837;hypothetical protein;405;263;0,005943292;1,539923954;0,622859108
2157990;2157990;2159798;2159802;+;-;SCO2015;nucleotidase;72;38;0,00596964;1,894736842;0,921997488
43682;43682;42171;42171;-;-;SCO0055;membrane-associated oxidoreductase;39;19;0,005997831;2,052631579;1,037474705
2690016;2690016;2690456;;+;-;SCO2496;hypothetical protein;62;25;0,005997831;2,48;1,310340121
;638801;639730;639793;+;-;SCO0599;regulator of sig8;141;76;0,006267055;1,855263158;0,891623839
;3321701;3322195;3322195;+;-;SCO3035;hypothetical protein;46;17;0,006325856;2,705882353;1,436099115
;4433281;4432988;4432954;-;-;SCO4036;hypothetical protein;556;330;0,006404115;1,684848485;0,752618858
4944642;;;4944400;-;-;predicted RNA;-;489;252;0,006729019;1,94047619;0,956410731
3037099;3037106;3038347;;+;-;SCO2783;monooxygenase;40;107;0,006760564;0,373831776;-1,419538892
1736031;1735961;1734867;;-;-;SCO1621;glycine/betaine transport ATP-binding protein;458;287;0,006820843;1,595818815;0,674296861
5971297;5971342;5971509;5971509;+;-;SCO5484;small hydrophobic membrane protein;90;237;0,00694935;0,379746835;-1,396890153
6097089;;;6097128;+;-;predicted RNA;-;4266;2567;0,00714215;1,661862096;0,73280067
4724157;4724157;4723060;4723047;-;-;SCO4311;hypothetical protein;111;59;0,007222817;1,881355932;0,911772817
5962007;5962095;5963102;5963105;+;-;SCO5476;oligopeptide transport integral membrane protein;161;96;0,007275612;1,677083333;0,745954377
5456209;5456221;5456883;5456889;+;-;SCO5022;lipoprotein;170;85;0,007287485;2;1
5647153;5647169;5647570;5647570;+;-;SCO5189;hypothetical protein;1688;1125;0,007382482;1,500444444;0,585389903
4398380;4398501;4400177;4400177;+;-;SCO4006;long-chain-fatty-acid--CoA ligase;10;27;0,00745695;0,37037037;-1,432959407
5071743;5071761;5072663;5072706;+;-;SCO4647;transcription antitermination protein;597;390;0,007635196;1,530769231;0,614256808
2766608;2766694;2766960;2767310;+;rpsT;SCO2563;30S ribosomal protein S20;7144;3971;0,007703797;1,799043062;0,84722972
1463931;1463926;1463072;1462971;-;-;SCO1385;hypothetical protein;194;117;0,007751119;1,658119658;0,729548123
3446928;3446582;3445110;3445108;-;-;SCO3146;hypothetical protein;232;110;0,007888701;2,109090909;1,076621282
;3014708;3010977;3010977;-;-;SCO2763;ABC transporter ATP-binding protein;41;24;0,007918329;1,708333333;0,772589504
