Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP10;qValue;fold;log2
;1353985;1353407;;-;-;SCO1282;oxidoreductase;1;1;1;1;0
;1355912;1354527;;-;-;SCO1284;aminotransferase;1;1;1;1;0
;1357030;1355909;;-;-;SCO1285;ketoreductase;1;1;1;1;0
;1359243;1358281;;-;-;SCO1287;hypothetical protein;1;1;1;1;0
;1359733;1359227;;-;-;SCO1288;hypothetical protein;1;1;1;1;0
;1404566;1403709;;-;-;SCO1328;hypothetical protein;1;1;1;1;0
;1432225;1431662;;-;-;SCO1354;hypothetical protein;1;1;1;1;0
;1433899;1432286;;-;-;SCO1355;serine protease;1;1;1;1;0
;1816297;1813616;;-;-;SCO1694;penicillin acylase;1;1;1;1;0
;1878448;1878741;;+;-;SCO1757;hypothetical protein;1;1;1;1;0
;1954383;1954009;;-;-;SCO1823;hypothetical protein;1;1;1;1;0
;2012792;2011647;;-;-;SCO1879;pectinesterase;1;1;1;1;0
;2014193;2012859;;-;-;SCO1880;pectate lyase;1;1;1;1;0
;2019014;2018169;;-;-;SCO1884;hypothetical protein;1;1;1;1;0
;2033731;2034675;;+;-;SCO1899;integral membrane sugar transport protein;1;1;1;1;0
;2179318;2180595;;+;-;SCO2029;hypothetical protein;1;1;1;1;0
;2180592;2181770;;+;-;SCO2030;hypothetical protein;1;1;1;1;0
;2181758;2183161;;+;-;SCO2031;hypothetical protein;1;1;1;1;0
;2386152;2387246;;+;-;SCO2222;iron-sulfur oxidoreductase;1;1;1;1;0
;2498675;2498289;;-;-;SCO2327;hypothetical protein;1;1;1;1;0
;2517893;2518537;;+;-;SCO2348;hypothetical protein;1;1;1;1;0
;2574719;2575690;;+;-;SCO2403;hypothetical protein;1;1;1;1;0
;2584839;2584078;;-;-;SCO2410;hypothetical protein;1;1;1;1;0
;2586126;2585467;;-;-;SCO2412;hypothetical protein;1;1;1;1;0
;2592294;2591230;;-;-;SCO2418;hypothetical protein;1;1;1;1;0
;2595126;2594362;;-;-;SCO2421;ABC-transporter integral membrane protein;1;1;1;1;0
;2599192;2600133;;+;-;SCO2425;hypothetical protein;1;1;1;1;0
;2610760;2609897;;-;-;SCO2432;sugar transporter membrane protein;1;1;1;1;0
;2611698;2610757;;-;-;SCO2433;sugar transporter membrane protein;1;1;1;1;0
;2613053;2611695;;-;-;SCO2434;sugar transporter sugar binding protein;1;1;1;1;0
;2670982;2671614;;+;-;SCO2480;hypothetical protein;1;1;1;1;0
;2697734;2698408;;+;-;SCO2500;hypothetical protein;1;1;1;1;0
;2699686;2701119;;+;-;SCO2502;transporter;1;1;1;1;0
;2716855;2714777;;-;-;SCO2519;hypothetical protein;1;1;1;1;0
;2772445;2769878;;-;-;SCO2567;hypothetical protein;1;1;1;1;0
;2942785;2942904;;+;-;SCO2698;small hydrophilic protein;1;1;1;1;0
;2945510;2944995;;-;-;SCO2702;hypothetical protein;1;1;1;1;0
;2953648;2954337;;+;-;SCO2710;polysaccharide deacetylase;1;1;1;1;0
;2954348;2955550;;+;-;SCO2711;glycosyl transferase;1;1;1;1;0
;2955547;2956266;;+;-;SCO2712;hypothetical protein;1;1;1;1;0
;2964695;2962767;;-;-;SCO2720;long-chain fatty acid ligase;1;1;1;1;0
;3177221;3178576;;+;-;SCO2926;hypothetical protein;1;1;1;1;0
;3249066;3251276;;+;-;SCO2982;glycosyl transferase;1;1;1;1;0
;3523299;3522697;;-;-;SCO3213;anthranilate synthase component II;1;1;1;1;0
;3534346;3533492;;-;-;SCO3221;prephenate dehydrogenase;1;1;1;1;0
;3541801;3540668;;-;-;SCO3228;glycolate oxidase;1;1;1;1;0
;3590134;3588746;;-;-;SCO3237;hypothetical protein;1;1;1;1;0
;3591306;3590146;;-;-;SCO3238;hypothetical protein;1;1;1;1;0
;3594630;3593755;;-;-;SCO3242;puitative transferase;1;1;1;1;0
;3605504;3604104;;-;-;SCO3252;replication initiator protein;1;1;1;1;0
;3605911;3605594;;-;-;SCO3253;SpdD protein;1;1;1;1;0
;3606090;3605935;;-;-;SCO3254;SpdC protein;1;1;1;1;0
;3606979;3606326;;-;-;SCO3256;SpdA protein;1;1;1;1;0
;3614792;3614589;;-;-;SCO3266;hypothetical protein;1;1;1;1;0
;3882333;3883742;;+;-;SCO3514;ATP-binding protein;1;1;1;1;0
;3883874;3885340;;+;-;SCO3515;hypothetical protein;1;1;1;1;0
;3885367;3885819;;+;-;SCO3516;hypothetical protein;1;1;1;1;0
;3885882;3887351;;+;-;SCO3517;ATP-binding protein;1;1;1;1;0
;3887444;3888079;;+;-;SCO3518;hypothetical protein;1;1;1;1;0
;3888210;3888821;;+;-;SCO3519;hypothetical protein;1;1;1;1;0
;3893187;3894470;;+;-;SCO3526;hypothetical protein;1;1;1;1;0
;3894467;3894697;;+;-;SCO3527;hypothetical protein;1;1;1;1;0
;3894706;3895866;;+;-;SCO3528;hypothetical protein;1;1;1;1;0
;3897837;3898616;;+;-;SCO3531;hypothetical protein;1;1;1;1;0
;3898613;3899089;;+;-;SCO3532;hypothetical protein;1;1;1;1;0
;3899086;3899751;;+;-;SCO3533;hypothetical protein;1;1;1;1;0
;3963576;3963217;;-;-;SCO3584;hypothetical protein;1;1;1;1;0
;3965649;3966812;;+;-;SCO3588;hypothetical protein;1;1;1;1;0
;4021137;4019875;;-;-;SCO3642;hypothetical protein;1;1;1;1;0
;4121930;4122688;;+;-;SCO3752;ABC transporter ATP-binding protein;1;1;1;1;0
;4330663;4332021;;+;-;SCO3936;plasmid replication initiator protein;1;1;1;1;0
;4333799;4333930;;+;-;SCO3938;thiamin biosynthesis protein ThiC;1;1;1;1;0
;4454151;4453888;;-;-;SCO4064;hypothetical protein;1;1;1;1;0
;4795085;4796683;;+;-;SCO4380;acetyl/propionyl CoA carboxylase subunit beta;1;1;1;1;0
;4798612;4799760;;+;-;SCO4382;acyl CoA dehydrogenase;1;1;1;1;0
;5046984;5046484;;-;-;SCO4622;hypothetical protein;1;1;1;1;0
;5275539;5274166;;-;-;SCO4842;oxidoreductase;1;1;1;1;0
;5275682;5276191;;+;-;SCO4843;hypothetical protein;1;1;1;1;0
;5276184;5277152;;+;-;SCO4844;phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase;1;1;1;1;0
;5303719;5306604;;+;-;SCO4874;hypothetical protein;1;1;1;1;0
;5312075;5313349;;+;-;SCO4880;transferase;1;1;1;1;0
;5372819;5372301;;-;-;SCO4937;hypothetical protein;1;1;1;1;0
;5492532;5494091;;+;-;SCO5053;hypothetical protein;1;1;1;1;0
;5494102;5494416;;+;-;SCO5054;hypothetical protein;1;1;1;1;0
;5509015;5510508;;+;-;SCO5067;carboxylesterase;1;1;1;1;0
;5551418;5550582;;-;-;SCO5108;hypothetical protein;1;1;1;1;0
;5565480;5566403;;+;-;SCO5118;peptide transport system integral membrane protein;1;1;1;1;0
;5566459;5567376;;+;-;SCO5119;peptide transport system integral membrane protein;1;1;1;1;0
;5774621;5773164;;-;-;SCO5301;penicillin-binding protein;1;1;1;1;0
;5789957;5789484;;-;-;SCO5319;whiE protein II;1;1;1;1;0
;5812543;5812740;;+;-;SCO5340;hypothetical protein;1;1;1;1;0
;5812762;5813430;;+;-;SCO5341;SpdA2 protein;1;1;1;1;0
;5813452;5813643;;+;-;SCO5342;SpdB2 protein;1;1;1;1;0
;5813654;5813809;;+;-;SCO5343;SpdC2 protein;1;1;1;1;0
;5813822;5814145;;+;-;SCO5344;SpdD2 protein;1;1;1;1;0
;5814872;5815057;;+;-;SCO5346;hypothetical protein;1;1;1;1;0
;5815050;5816414;;+;-;SCO5347;replication initiation protein;1;1;1;1;0
;6153109;6151649;;-;-;SCO5653;hypothetical protein;1;1;1;1;0
;6197356;6199599;;+;-;SCO5690;hypothetical protein;1;1;1;1;0
;6340587;6342533;;+;-;SCO5800;hypothetical protein;1;1;1;1;0
;6442166;6441276;;-;-;SCO5884;hypothetical protein;1;1;1;1;0
;6449549;6456442;;+;-;SCO5892;polyketide synthase;1;1;1;1;0
;6494912;6493143;;-;-;SCO5924;hypothetical protein;1;1;1;1;0
;6506808;6507281;;+;-;SCO5939;peptidylprolyl isomerase;1;1;1;1;0
;6510803;6511951;;+;-;SCO5944;hypothetical protein;1;1;1;1;0
;6561614;6562012;;+;-;SCO5985;hypothetical protein;1;1;1;1;0
;6687926;6688708;;+;-;SCO6089;antibiotic resistance rRNA adenine methyltransferase;1;1;1;1;0
;6744922;6746640;;+;-;SCO6145;hypothetical protein;1;1;1;1;0
;6767705;6768031;;+;-;SCO6164;hypothetical protein;1;1;1;1;0
;6786733;6787767;;+;-;SCO6181;transferase;1;1;1;1;0
;6787764;6788621;;+;-;SCO6182;dehydratase;1;1;1;1;0
;6788618;6789625;;+;-;SCO6183;transferase;1;1;1;1;0
;6790569;6791789;;+;-;SCO6185;transferase;1;1;1;1;0
;6791786;6792481;;+;-;SCO6186;phosphoheptose isomerase;1;1;1;1;0
;6792478;6793869;;+;-;SCO6187;bifunctional synthase/transferase;1;1;1;1;0
;6795563;6796516;;+;-;SCO6189;transferase;1;1;1;1;0
;6796513;6797409;;+;-;SCO6190;transferase;1;1;1;1;0
;6828295;6829683;;+;-;SCO6214;permease;1;1;1;1;0
;6931959;6918286;;-;-;SCO6275;type I polyketide synthase;1;1;1;1;0
;6997698;6997411;;-;-;SCO6338;transposase;1;1;1;1;0
;7028168;7025526;;-;-;SCO6365;hypothetical protein;1;1;1;1;0
;7033729;7033962;;+;-;SCO6372;hypothetical protein;1;1;1;1;0
;7060243;7059104;;-;-;SCO6392;transposase;1;1;1;1;0
;7085067;7086635;;+;-;SCO6417;integral membrane transporter;1;1;1;1;0
;7090445;7089432;;-;-;SCO6420;DNA-binding protein;1;1;1;1;0
;7118254;7119774;;+;-;SCO6436;tRNA synthetase;1;1;1;1;0
;7224953;7224459;;-;-;SCO6533;nitrate reductase subunit delta NarJ;1;1;1;1;0
;7244086;7244250;;+;-;SCO6547;hypothetical protein;1;1;1;1;0
;7269589;7271106;;+;-;SCO6567;ABC transporter ATP-binding protein;1;1;1;1;0
;7271103;7272122;;+;-;SCO6568;ABC transporter;1;1;1;1;0
;7275867;7279583;;+;-;SCO6572;glycosyl hydrolase;1;1;1;1;0
;7281003;7282094;;+;-;SCO6574;hypothetical protein;1;1;1;1;0
;7282091;7283038;;+;-;SCO6575;hypothetical protein;1;1;1;1;0
;7283052;7283789;;+;-;SCO6576;hypothetical protein;1;1;1;1;0
;7284641;7285816;;+;-;SCO6578;hypothetical protein;1;1;1;1;0
;7285813;7287210;;+;-;SCO6579;hypothetical protein;1;1;1;1;0
;7295197;7293515;;-;-;SCO6584;TPP-requiring enzyme;1;1;1;1;0
;7321513;7322829;;+;-;SCO6601;sugar binding protein;1;1;1;1;0
;7322891;7323919;;+;-;SCO6602;transmembrane sugar transport protein;1;1;1;1;0
;7323927;7324766;;+;-;SCO6603;transmembrane sugar transport protein;1;1;1;1;0
;7470453;7470647;;+;-;SCO6716;hypothetical protein;1;1;1;1;0
;7543722;7544747;;+;-;SCO6786;oxidoreductase;1;1;1;1;0
;7544744;7545892;;+;-;SCO6787;acyl-CoA dehydrogenase;1;1;1;1;0
;7554719;7553214;;-;-;SCO6793;aldehyde dehydrogenase;1;1;1;1;0
;7572336;7571107;;-;-;SCO6809;integral membrane transport protein;1;1;1;1;0
;7580935;7579400;;-;-;SCO6818;phosphoglyceromutase;1;1;1;1;0
;7582254;7580932;;-;-;SCO6819;3-phosphoshikimate 1-carboxyvinyltransferase;1;1;1;1;0
;7584639;7582309;;-;-;SCO6820;oxidoreductase;1;1;1;1;0
;7602498;7602773;;+;-;SCO6831;hypothetical protein;1;1;1;1;0
;7610765;7609452;;-;-;SCO6839;hypothetical protein;1;1;1;1;0
;7615928;7614564;;-;-;SCO6842;hypothetical protein;1;1;1;1;0
;7617112;7615994;;-;-;SCO6843;hypothetical protein;1;1;1;1;0
;7619000;7618380;;-;-;SCO6845;hypothetical protein;1;1;1;1;0
;7619880;7619557;;-;-;SCO6846;hypothetical protein;1;1;1;1;0
;7620910;7620290;;-;-;SCO6847;hypothetical protein;1;1;1;1;0
;7621461;7621003;;-;-;SCO6848;hypothetical protein;1;1;1;1;0
;7623185;7621458;;-;-;SCO6849;hypothetical protein;1;1;1;1;0
;7624064;7623285;;-;-;SCO6850;hypothetical protein;1;1;1;1;0
;7624633;7624067;;-;-;SCO6851;hypothetical protein;1;1;1;1;0
;7625485;7624664;;-;-;SCO6852;hypothetical protein;1;1;1;1;0
;7626660;7625857;;-;-;SCO6854;hypothetical protein;1;1;1;1;0
;7628124;7627477;;-;-;SCO6856;hypothetical protein;1;1;1;1;0
;7628879;7628121;;-;-;SCO6857;hypothetical protein;1;1;1;1;0
;7629609;7628905;;-;-;SCO6858;hypothetical protein;1;1;1;1;0
;7635678;7633888;;-;-;SCO6864;hypothetical protein;1;1;1;1;0
;7638457;7637267;;-;-;SCO6866;hypothetical protein;1;1;1;1;0
;7638912;7638454;;-;-;SCO6867;hypothetical protein;1;1;1;1;0
;7640056;7638950;;-;-;SCO6868;hypothetical protein;1;1;1;1;0
;7640792;7640049;;-;-;SCO6869;hypothetical protein;1;1;1;1;0
;7641461;7640844;;-;-;SCO6870;hypothetical protein;1;1;1;1;0
;7642568;7641501;;-;-;SCO6871;lipoprotein;1;1;1;1;0
;7643502;7642591;;-;-;SCO6872;hypothetical protein;1;1;1;1;0
;7643734;7643492;;-;-;SCO6873;hypothetical protein;1;1;1;1;0
;7644442;7643807;;-;-;SCO6874;hypothetical protein;1;1;1;1;0
;7644821;7644396;;-;-;SCO6875;hypothetical protein;1;1;1;1;0
;7645406;7644900;;-;-;SCO6876;hypothetical protein;1;1;1;1;0
;7647787;7646264;;-;-;SCO6878;ATP-binding protein;1;1;1;1;0
;7648277;7647816;;-;-;SCO6879;hypothetical protein;1;1;1;1;0
;7649820;7648378;;-;-;SCO6880;lipoprotein;1;1;1;1;0
;7652060;7651368;;-;-;SCO6882;hypothetical protein;1;1;1;1;0
;7652374;7652060;;-;-;SCO6883;hypothetical protein;1;1;1;1;0
;7654146;7654901;;+;-;SCO6885;DNA methylase;1;1;1;1;0
;7655700;7656185;;+;-;SCO6887;hypothetical protein;1;1;1;1;0
;7656204;7656902;;+;-;SCO6888;hypothetical protein;1;1;1;1;0
;7656920;7657660;;+;-;SCO6889;hypothetical protein;1;1;1;1;0
;7658730;7659212;;+;-;SCO6892;hypothetical protein;1;1;1;1;0
;7659287;7659598;;+;-;SCO6893;hypothetical protein;1;1;1;1;0
;7659639;7660481;;+;-;SCO6894;hypothetical protein;1;1;1;1;0
;7660478;7660993;;+;-;SCO6895;regulator (fragment);1;1;1;1;0
;7662258;7662569;;+;-;SCO6897;hypothetical protein;1;1;1;1;0
;7662638;7663855;;+;-;SCO6898;carboxylase;1;1;1;1;0
;7663852;7665003;;+;-;SCO6899;hypothetical protein;1;1;1;1;0
;7665000;7665629;;+;-;SCO6900;hypothetical protein;1;1;1;1;0
;7665653;7666519;;+;-;SCO6901;hypothetical protein;1;1;1;1;0
;7666548;7667036;;+;-;SCO6902;hypothetical protein;1;1;1;1;0
;7667084;7667884;;+;-;SCO6903;hypothetical protein;1;1;1;1;0
;7683453;7682938;;-;-;SCO6919;hypothetical protein;1;1;1;1;0
;7685787;7684057;;-;-;SCO6921;hypothetical protein;1;1;1;1;0
;7703887;7702634;;-;-;SCO6938;acyl-CoA dehydrogenase;1;1;1;1;0
;7710167;7710406;;+;-;SCO6946;hypothetical protein;1;1;1;1;0
;7713266;7712805;;-;-;SCO6949;hypothetical protein;1;1;1;1;0
;7726124;7726489;;+;-;SCO6959;monovalent cation/H+ antiporter subunit G;1;1;1;1;0
;7730619;7729774;;-;-;SCO6963;lipoprotein;1;1;1;1;0
;7815286;7816242;;+;-;SCO7029;binding-protein-dependent transport protein;1;1;1;1;0
;7823274;7824713;;+;-;SCO7035;succinate-semialdehyde dehydrogenase;1;1;1;1;0
;7853666;7854562;;+;-;SCO7064;hypothetical protein;1;1;1;1;0
;7858376;7857789;;-;-;SCO7068;hypothetical protein;1;1;1;1;0
;7872507;7872043;;-;-;SCO7082;hypothetical protein;1;1;1;1;0
;7885962;7884751;;-;-;SCO7094;flavohemoprotein;1;1;1;1;0
;7887321;7887665;;+;-;SCO7096;hypothetical protein;1;1;1;1;0
;7893752;7893453;;-;-;SCO7103;hypothetical protein;1;1;1;1;0
;7905621;7904521;;-;-;SCO7115;hypothetical protein;1;1;1;1;0
;7906456;7905713;;-;-;SCO7116;hypothetical protein;1;1;1;1;0
;7907715;7906453;;-;-;SCO7117;ferredoxin reductase;1;1;1;1;0
;7908628;7907864;;-;-;SCO7118;hypothetical protein;1;1;1;1;0
;7908808;7909746;;+;-;SCO7119;dehydrogenase;1;1;1;1;0
;7912792;7913283;;+;-;SCO7122;acetyltransferase;1;1;1;1;0
;7949234;7950301;;+;-;SCO7155;hypothetical protein;1;1;1;1;0
;7977242;7973481;;-;-;SCO7176;peptidase;1;1;1;1;0
;7977478;7978122;;+;-;SCO7177;hypothetical protein;1;1;1;1;0
;7981423;7981070;;-;-;SCO7180;hypothetical protein;1;1;1;1;0
;7982399;7983112;;+;-;SCO7182;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;8007340;8007146;;-;-;SCO7204;hypothetical protein;1;1;1;1;0
;8072945;8073109;;+;-;SCO7262;hypothetical protein;1;1;1;1;0
;8115165;8115779;;+;-;SCO7308;membrane transport protein;1;1;1;1;0
;8159511;8158531;;-;-;SCO7345;ATP-dependent DNA ligase;1;1;1;1;0
;8162315;8162202;;-;-;SCO7348;hypothetical protein;1;1;1;1;0
;8162506;8162393;;-;-;SCO7349;hypothetical protein;1;1;1;1;0
;8188898;8189692;;+;-;SCO7375;acetyltransferase;1;1;1;1;0
;8199240;8198068;;-;-;SCO7386;serine protease;1;1;1;1;0
;8201665;8202543;;+;-;SCO7389;short chain dehydrogenase;1;1;1;1;0
;8204060;8204551;;+;-;SCO7392;hypothetical protein;1;1;1;1;0
;8225711;8224785;;-;-;SCO7410;binding-protein dependent transport protein;1;1;1;1;0
;8265291;8265896;;+;-;SCO7450;hypothetical protein;1;1;1;1;0
;8271969;8271571;;-;-;SCO7457;hypothetical protein;1;1;1;1;0
;8311394;8310669;;-;-;SCO7499;racemase;1;1;1;1;0
;8312979;8311492;;-;-;SCO7500;allantoin permease;1;1;1;1;0
;8315906;8317243;;+;-;SCO7503;extracellular solute-binding protein;1;1;1;1;0
;8317256;8318206;;+;-;SCO7504;integral membrane binding-protein-dependent transport protein;1;1;1;1;0
;8328367;8327480;;-;-;SCO7513;hydrolase;1;1;1;1;0
;8345074;8346285;;+;-;SCO7526;chloramphenicol resistance protein;1;1;1;1;0
;8352350;8351511;;-;-;SCO7532;hypothetical protein;1;1;1;1;0
;8419486;8419851;;+;-;SCO7593;hypothetical protein;1;1;1;1;0
;8424898;8425014;;+;-;SCO7598;hypothetical protein;1;1;1;1;0
;8494580;8493549;;-;-;SCO7669;oxidoreductase;1;1;1;1;0
;8495092;8494577;;-;-;SCO7670;hypothetical protein;1;1;1;1;0
;8496340;8495102;;-;-;SCO7671;transferase;1;1;1;1;0
;8498412;8498906;;+;-;SCO7675;hypothetical protein;1;1;1;1;0
;8506283;8512972;;+;-;SCO7682;non-ribosomal peptide synthase;1;1;1;1;0
;8512969;8518497;;+;-;SCO7683;non-ribosomal peptide synthase;1;1;1;1;0
;8518494;8519645;;+;-;SCO7684;hypothetical protein;1;1;1;1;0
;8519642;8521675;;+;-;SCO7685;hypothetical protein;1;1;1;1;0
;8521684;8522919;;+;-;SCO7686;cytochrome P450;1;1;1;1;0
;8522916;8523749;;+;-;SCO7687;thioesterase;1;1;1;1;0
;8573140;8573652;;+;-;SCO7737;hypothetical protein;1;1;1;1;0
;8575071;8574364;;-;-;SCO7739;hydrolase;1;1;1;1;0
;8591283;8591942;;+;-;SCO7761;hypothetical protein;1;1;1;1;0
;8621255;8620776;;-;-;SCO7799;transposase;1;1;1;1;0
;8639456;8639902;;+;-;SCO7820;hypothetical protein;1;1;1;1;0
;8652479;8652769;;+;-;SCO7834;hypothetical protein;1;1;1;1;0
;8656148;8656498;;+;-;SCO7839;hypothetical protein;1;1;1;1;0
;8658204;8657098;;-;-;SCO7841;ATP/GTP-binding protein;1;1;1;1;0
;11000;10554;;-;-;SCO0007;hypothetical protein;1;1;1;1;0
;53141;54100;;+;-;SCO0066;integral membrane permease;1;1;1;1;0
;54097;54918;;+;-;SCO0067;integral membrane permease;1;1;1;1;0
;92928;92773;;-;-;SCO0112;hypothetical protein;1;1;1;1;0
;100190;101566;;+;-;SCO0122;flavin-containing monooxygenase;1;1;1;1;0
;319345;318329;;-;-;SCO0318;oxidoreductase;1;1;1;1;0
;366935;368146;;+;-;SCO0362;racemase;1;1;1;1;0
;392483;391950;;-;-;SCO0377;hypothetical protein;1;1;1;1;0
;435397;434651;;-;-;SCO0417;hypothetical protein;1;1;1;1;0
;435456;436103;;+;-;SCO0418;DNA-binding protein;1;1;1;1;0
;551918;552115;;+;-;SCO0517;hypothetical protein;1;1;1;1;0
;593486;593049;;-;-;SCO0553;hypothetical protein;1;1;1;1;0
;641762;640719;;-;-;SCO0601;hypothetical protein;1;1;1;1;0
;667096;665816;;-;-;SCO0625;transporter;1;1;1;1;0
;667744;667100;;-;-;SCO0626;hypothetical protein;1;1;1;1;0
;672727;671618;;-;-;SCO0629;transcriptional regulator;1;1;1;1;0
;692894;693445;;+;-;SCO0653;hypothetical protein;1;1;1;1;0
;698838;699824;;+;-;SCO0661;binding protein dependent transport protein;1;1;1;1;0
;740231;739938;;-;-;SCO0699;hypothetical protein;1;1;1;1;0
;748387;747191;;-;-;SCO0707;branched-chain amino acid ABC transporter permease;1;1;1;1;0
