Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	M145	MGM14	qValue	fold	log2
1752269			1752238	-	-	predicted RNA	-	226	276	1	0,81884058	-0,288345494
1758474			1758452	-	-	predicted RNA	-	784	1174	1	0,667802385	-0,582506849
1760146			1760136	-	-	predicted RNA	-	948	1838	0,652163327	0,51577802	-0,955177802
1764537			1764551	+	-	predicted RNA	antisense: SCO1650	88	207	0,745218475	0,425120773	-1,234055339
1767977			1767704	-	-	predicted RNA	-	232	302	0,997760284	0,768211921	-0,380423744
1781925			1782024	+	-	predicted RNA	-	412	199	0,046749665	2,070351759	1,049875907
1795654			1795585	-	-	predicted RNA	-	269	275	1	0,978181818	-0,031825446
1908761			1908718	-	-	predicted RNA	antisense: SCO1784	167	259	1	0,644787645	-0,633103995
1919267			1919486	+	-	predicted RNA	antisense: rrnB	1169	309	1,95E-15	3,783171521	1,919596187
1967203			1967146	-	-	predicted RNA	-	356	579	0,779408526	0,614853195	-0,701686107
1989702			1989763	+	-	predicted RNA	-	286	209	0,832319298	1,368421053	0,452512205
2000464			2000490	+	-	predicted RNA	-	1336	563	0,009519413	2,373001776	1,24671318
2000931			2000961	+	-	predicted RNA	-	1726	699	0,002525579	2,469241774	1,304068104
2009457			2009468	+	-	predicted RNA	-	235	64	0,114062376	3,671875	1,876516947
2053369			2053355	-	-	predicted RNA	-	559	664	1	0,84186747	-0,248334959
2078003			2077957	-	-	predicted RNA	-	1399	1678	1	0,833730632	-0,262346753
2104332			2104305	-	-	predicted RNA	-	412	498	1	0,827309237	-0,273501405
2189420			2189339	-	-	predicted RNA	-	135	249	0,74415631	0,542168675	-0,883186335
2232943			2232908	-	-	predicted RNA	-	370	528	1	0,700757576	-0,513012659
2258205			2257935	-	-	predicted RNA	-	5267	5836	0,109254879	0,902501714	-0,147998424
2262862			2262851	-	-	predicted RNA	-	321	293	1	1,09556314	0,131672633
2333771			2333832	+	-	predicted RNA	-	282	281	1	1,003558719	0,005125032
2348650			2348660	+	-	predicted RNA	-	633	535	1	1,18317757	0,242666608
2362871			2362905	+	-	predicted RNA	-	414	380	1	1,089473684	0,123631349
2370811			2370800	-	-	predicted RNA	antisense: SCO2204	69	236	0,377583486	0,292372881	-1,774118593
2462901			2463296	+	-	predicted RNA	antisense: SCO2293 rnpB	597	575	1	1,03826087	0,054168975
2551996			2552017	+	-	predicted RNA	-	479	420	1	1,14047619	0,189636328
2561366			2561404	+	-	predicted RNA	-	3246	2774	1	1,170151406	0,226695212
2812353			2812336	-	-	predicted RNA	-	721	682	1	1,057184751	0,08022752
2818632			2818517	-	-	predicted RNA	-	219	324	0,950572559	0,675925926	-0,565062943
2836064			2835943	-	-	predicted RNA	-	525	333	0,349950722	1,576576577	0,656795245
2836784			2836676	-	-	predicted RNA	-	316	293	1	1,078498294	0,109023894
2845737			2845726	-	-	predicted RNA	-	1408	1511	1	0,931833223	-0,101856327
2859163			2858976	-	-	predicted RNA	antisense: SCO2632	797	1172	0,277701695	0,68003413	-0,55632094
2859917			2859771	-	-	predicted RNA	antisense: SCO2632	307	393	1	0,781170483	-0,356290657
2860936			2860967	+	-	predicted RNA	antisense: SCO2634	221	93	0,185483919	2,376344086	1,248743748
2982237			2982559	+	-	predicted RNA	-	429	651	0,108925468	0,658986175	-0,601679896
3033324			3033354	+	-	predicted RNA	-	349	251	0,886440934	1,390438247	0,475539672
3034532			3034631	+	-	predicted RNA	-	308	433	1	0,711316397	-0,491436674
3040795			3040901	+	-	predicted RNA	antisense: SCO2786	122	284	0,171005945	0,429577465	-1,219009782
3153869			3153849	-	-	predicted RNA	-	465	605	1	0,768595041	-0,379704426
3166276			3166251	-	-	predicted RNA	-	283	469	1	0,603411514	-0,72878587
3208723			3208817	+	-	predicted RNA	-	482	1503	3,73E-07	0,320691949	-1,640739958
3226549			3226691	+	-	predicted RNA	antisense: SCOs02	1631	1662	1	0,981347774	-0,0271636
3283831			3283756	-	-	predicted RNA	-	1159	1924	0,101852003	0,602390852	-0,731228233
3299426			3299645	+	-	predicted RNA	antisense: SCOr08	1172	309	1,95E-15	3,792880259	1,923293827
3306788			3306763	-	-	predicted RNA	-	429	469	1	0,914712154	-0,128610275
3304730			3304857	+	-	predicted RNA	antisense: SCO3022	102	217	0,325292258	0,470046083	-1,08912589
3320745			3320720	-	-	predicted RNA	-	839	788	1	1,064720812	0,090475181
3360063			3359967	-	-	predicted RNA	-	269	369	1	0,72899729	-0,456014644
3423939			3423959	+	-	predicted RNA	-	833	958	1	0,869519833	-0,20170916
3453704			3453688	-	-	predicted RNA	-	213	349	1	0,610315186	-0,712373606
3453840			3453815	-	-	predicted RNA	-	155	243	1	0,637860082	-0,648688098
3494481			3494503	+	-	predicted RNA	-	497	423	1	1,174940898	0,232588188
3501300			3501309	+	-	predicted RNA	-	1632	682	0,058335543	2,392961877	1,258797413
3504384			3504347	-	-	predicted RNA	-	226	326	1	0,693251534	-0,528549192
3510259			3510205	-	-	predicted RNA	-	288	170	0,384919322	1,694117647	0,760534065
3673358			3673242	-	-	predicted RNA	-	302	390	1	0,774358974	-0,368925574
3669442			3669978	+	-	predicted RNA	antisense: hemC SCO3317	282	731	1,93E-06	0,385772914	-1,374176244
3688201			3688420	+	-	predicted RNA	antisense: rrnF	1169	309	1,95E-15	3,783171521	1,919596187
3699214			3699186	-	-	predicted RNA	-	800	514	0,492709094	1,556420233	0,638231641
3716151			3716166	+	-	predicted RNA	-	5187	3742	0,73038592	1,386157135	0,471090811
3716803			3716847	+	-	predicted RNA	-	689	396	0,252043586	1,73989899	0,799003553
3739215			3739048	-	-	predicted RNA	-	969	1638	0,229700007	0,591575092	-0,757366786
3770961			3770951	-	-	predicted RNA	-	300	357	1	0,840336134	-0,250961574
3775637			3775652	+	-	predicted RNA	-	649	859	1	0,755529686	-0,404439653
3911548			3911458	-	-	predicted RNA	-	224	353	0,885111962	0,634560907	-0,656169451
3933657			3933571	-	-	predicted RNA	-	169	322	0,521457027	0,52484472	-0,930037442
3934701			3934892	+	-	predicted RNA	-	993	1849	0,120001369	0,537047052	-0,896879602
3944837			3944948	+	-	predicted RNA	-	464	892	0,072399225	0,520179372	-0,942918905
3954157			3954083	-	-	predicted RNA	-	765	606	1	1,262376238	0,336141954
3979723			3979563	-	-	predicted RNA	-	57	295	1,71E-08	0,193220339	-2,37168113
3983428			3983301	-	-	predicted RNA	antisense: SCO3606	50	335	2,14E-12	0,149253731	-2,744161096
4043317			4043307	-	-	predicted RNA	-	91	230	0,744341882	0,395652174	-1,337695411
4088138			4088147	+	-	predicted RNA	-	98	437	0,086116231	0,224256293	-2,156779625
4098719			4098701	-	-	predicted RNA	antisense: SCO3723	65	212	0,333841866	0,306603774	-1,705552642
4134483			4134444	-	-	predicted RNA	-	562	225	0,018503693	2,497777778	1,320645129
4141369			4141380	+	-	predicted RNA	-	517	621	1	0,83252818	-0,264428988
4141905			4141944	+	-	predicted RNA	-	846	892	1	0,948430493	-0,076386047
4171952			4172035	+	-	predicted RNA	antisense: SCO3794	102	296	0,057261547	0,344594595	-1,537028024
4228776			4228818	+	-	predicted RNA	-	311	327	1	0,951070336	-0,072376055
4233464			4233562	+	-	predicted RNA	-	313	309	1	1,012944984	0,018555819
4244520			4244565	+	-	predicted RNA	-	251	205	1	1,224390244	0,292063454
4260723			4260693	-	-	predicted RNA	-	379	381	1	0,994750656	-0,007593149
4275863			4275872	+	-	predicted RNA	-	296	558	1	0,53046595	-0,914667946
4280560			4280545	-	-	predicted RNA	-	831	815	1	1,019631902	0,028048418
4285060			4285044	-	-	predicted RNA	-	180	314	1	0,573248408	-0,802767653
4295814			4296015	+	-	predicted RNA	-	263	293	1	0,897610922	-0,155837865
4302566			4302542	-	-	predicted RNA	-	276	358	1	0,770949721	-0,37529132
4323904			4324323	+	-	predicted RNA	-	288	383	0,445012983	0,751958225	-0,41127558
4359699			4359738	+	-	predicted RNA	antisense: SCO3960	46	302	3,58E-05	0,152317881	-2,714842783
4388136			4388432	+	-	predicted RNA	-	179	256	0,749199088	0,69921875	-0,516184223
4436887			4436825	-	-	predicted RNA	-	174	276	1	0,630434783	-0,665580961
4448006			4448045	+	-	predicted RNA	antisense: SCO4055	42	278	5,81E-05	0,151079137	-2,72662365
4482409			4482378	-	-	predicted RNA	-	1498	1873	1	0,799786439	-0,322313276
4515616			4515722	+	-	predicted RNA	-	125	212	0,886440934	0,589622642	-0,76213617
4530489			4530470	-	-	predicted RNA	-	191	86	0,445012983	2,220930233	1,151164073
4533003			4532784	-	-	predicted RNA	antisense: rrnA	1172	309	1,95E-15	3,792880259	1,923293827
4545337			4545298	-	-	predicted RNA	-	210	226	1	0,92920354	-0,105933445
4547100			4547136	+	-	predicted RNA	-	328	505	1	0,64950495	-0,622587573
4580864			4580898	+	-	predicted RNA	-	77	208	0,363999646	0,370192308	-1,433653177
4592479			4592637	+	-	predicted RNA	antisense: SCO4183	350	419	1	0,835322196	-0,259595322
4593233			4593420	+	-	predicted RNA	antisense: SCO4183	797	1174	0,275427258	0,678875639	-0,558780779
4608438			4608373	-	-	predicted RNA	antisense: SCO4199	170	256	1	0,6640625	-0,590609064
4622992			4622753	-	-	predicted RNA	-	449	0	1	NA	NA
4623605			4623434	-	-	predicted RNA	-	2561	13	0	197	7,622051819
4631056			4630990	-	-	predicted RNA	-	301	220	0,832474635	1,368181818	0,452259963
4637243			4637310	+	-	predicted RNA	-	1063	1874	0,091528115	0,567235859	-0,817979356
4674519			4674370	-	-	predicted RNA	-	590	1227	0,001794663	0,480847596	-1,056348389
4711122			4711029	-	-	predicted RNA	antisense: groEL	303	165	0,176751523	1,836363636	0,876851769
4729838			4729925	+	-	predicted RNA	-	65	322	1,82E-05	0,201863354	-2,308549065
4753326			4753508	+	-	predicted RNA	antisense: SCO4339	363	349	1	1,040114613	0,056742512
4785683			4785496	-	-	predicted RNA	antisense: SCO4370	797	1174	0,275427258	0,678875639	-0,558780779
4786437			4786291	-	-	predicted RNA	antisense: SCO4370	311	393	1	0,791348601	-0,337614732
4805777			4805601	-	-	predicted RNA	-	295	862	1,85E-06	0,342227378	-1,546972915
4811572			4811654	+	-	predicted RNA	-	290	342	1	0,847953216	-0,237943425
4890533			4890548	+	-	predicted RNA	-	2301	1281	0,187827626	1,796252927	0,844990508
4913216			4913237	+	-	predicted RNA	-	243	287	1	0,846689895	-0,240094423
4922641			4922769	+	-	predicted RNA	-	148	386	0,015135786	0,383419689	-1,383003672
4984784			4984134	-	-	predicted RNA	antisense: SCO4567 SCO4566	833	952	0,137791549	875	-0,192645078
5006090			5006120	+	-	predicted RNA	-	80	1164	1,44E-44	0,068728522	-3,862947248
5031174			5031031	-	-	predicted RNA	antisense: SCO4607	68	244	0,001177058	0,278688525	-1,843274496
5037748			5037739	-	-	predicted RNA	-	214	299	1	0,715719064	-0,482534688
5069748			5069732	-	-	predicted RNA	-	327	345	1	0,947826087	-0,077305726
5071743			5071760	+	-	predicted RNA	-	441	358	1	1,231843575	0,300819068
5076971			5077012	+	-	predicted RNA	-	12821	8906	1	1,439591287	0,525659275
5077475			5077531	+	-	predicted RNA	-	2952	2793	1	1,056928034	0,079877148
5116863			5116989	+	-	predicted RNA	-	245	412	0,497766397	0,594660194	-0,749862588
5140682			5140705	+	-	predicted RNA	-	2621	2167	1	1,20950623	0,2744182
5141155			5141312	+	-	predicted RNA	-	5878	5783	0,687292417	1,01642746	0,023507257
5143367			5143378	+	-	predicted RNA	-	5810	5852	1	0,992822967	-0,010391606
5123081			5122894	-	-	predicted RNA	antisense: SCO4698	797	1174	0,275427258	0,678875639	-0,558780779
5123847			5123676	-	-	predicted RNA	antisense: SCO4698	450	556	1	0,809352518	-0,305159882
5147919			5147936	+	-	predicted RNA	-	3325	2361	0,67007297	1,408301567	0,493956299
5182977			5182992	+	-	predicted RNA	-	346	400	1	865	-0,209227962
5319513			5319524	+	-	predicted RNA	-	566	401	0,806562775	1,411471322	0,497199816
5336572			5336550	-	-	predicted RNA	-	179	303	1	0,590759076	-0,759358206
5351116			5351090	-	-	predicted RNA	-	296	209	0,79928318	1,416267943	0,502094234
5354015			5354025	+	-	predicted RNA	-	499	527	1	0,94686907	-0,078763146
5400704			5400675	-	-	predicted RNA	-	121	313	0,472010092	0,38658147	-1,37115561
5499002			5499028	+	-	predicted RNA	-	412	598	1	0,688963211	-0,537501147
5595592			5595614	+	-	predicted RNA	-	393	513	1	0,766081871	-0,384429513
5634697			5634538	-	-	predicted RNA	antisense: SCO5183	135	311	0,055957996	0,434083601	-1,203955173
5680089			5680098	+	-	predicted RNA	-	393	432	1	0,909722222	-0,136502
5699868			5699999	+	-	predicted RNA	-	1129	1618	0,325292258	0,697775031	-0,519166122
5705552			5705542	-	-	predicted RNA	-	250	256	1	0,9765625	-0,034215715
5824570			5824605	+	-	predicted RNA	-	229	230	1	0,995652174	-0,006286263
5837384			5837405	+	-	predicted RNA	-	677	594	1	1,13973064	0,188692903
5838301			5838311	+	-	predicted RNA	-	3125	3146	1	0,993324857	-0,009662481
5877916			5877893	-	-	predicted RNA	-	300	182	0,534944433	1,648351648	0,72102405
5889544			5889624	+	-	predicted RNA	-	340	477	1	0,71278826	-0,48845452
5963136			5963156	+	-	predicted RNA	-	768	976	1	0,786885246	-0,345774837
6034992			6034980	-	-	predicted RNA	-	309	329	1	0,939209726	-0,090480746
6039088			6039061	-	-	predicted RNA	-	179	296	1	0,60472973	-0,725637588
6054653			6054679	+	-	predicted RNA	-	615	600	1	1025	0,03562391
6059747			6059764	+	-	predicted RNA	antisense: SCO5561	142	217	1	0,65437788	-0,611804113
6069069			6069119	+	-	predicted RNA	-	808	425	0,108559276	1,901176471	0,926892452
6074191			6074499	+	-	predicted RNA	-	354	406	1	0,871921182	-0,197730367
6097092			6097113	+	-	predicted RNA	-	3968	3129	1	1,268136785	0,342710367
6104436			6104461	+	-	predicted RNA	-	260	290	1	0,896551724	-0,157541277
6110641			6110535	-	-	predicted RNA	-	205	278	1	0,737410072	-0,439460973
6126334			6126354	+	-	predicted RNA	-	721	650	1	1,109230769	0,149559541
6131669			6131683	+	-	predicted RNA	-	188	236	1	0,796610169	-0,328054198
6131759			6131837	+	-	predicted RNA	-	151	231	1	0,653679654	-0,613344302
6133158			6133424	+	-	predicted RNA	-	277	419	0,406075302	0,661097852	-0,597064268
6139905			6140065	+	-	predicted RNA	antisense: SCO5641	350	427	1	0,819672131	-0,286881148
6140661			6140848	+	-	predicted RNA	antisense: SCO5641 SCO5642	797	1174	0,275427258	0,678875639	-0,558780779
6206634			6206643	+	-	predicted RNA	-	341	245	0,886440934	1,391836735	0,47698999
6219578			6219594	+	-	predicted RNA	-	416	661	1	0,62934947	-0,668066743
6244917			6244942	+	-	predicted RNA	-	613	465	0,90148213	1,31827957	0,398656358
6265281			6265246	-	-	predicted RNA	-	2466	2095	1	1,177088305	0,235222556
6272328			6272109	-	-	predicted RNA	antisense: rrnE	1172	309	1,95E-15	3,792880259	1,923293827
6307779			6307806	+	-	predicted RNA	-	294	302	1	0,973509934	-0,038732394
6370213			6370178	-	-	predicted RNA	antisense: SCO5821	245	210	1	1,166666667	0,222392421
6370775			6370285	-	-	predicted RNA	-	3867	4399	0,021992105	0,879063424	-0,185960837
6421554			6421564	+	-	predicted RNA	-	708	717	1	0,987447699	-0,018223759
6486284			6486573	+	-	predicted RNA	-	187	359	0,06672041	0,520891365	-0,940945574
6749992			6750102	+	-	predicted RNA	-	454	532	1	0,853383459	-0,228733948
6818847			6818641	-	-	predicted RNA	-	463	808	0,034683626	0,573019802	-0,803343099
6933997			6933829	-	-	predicted RNA	antisense: SCO6277	247	330	1	0,748484848	-0,417954983
7057059			7056877	-	-	predicted RNA	antisense: SCO6390	87	249	0,007676409	0,34939759	-1,517058436
7064276			7064198	-	-	predicted RNA	-	151	231	1	0,653679654	-0,613344302
7064366			7064352	-	-	predicted RNA	-	187	236	1	0,792372881	-0,335748589
7479995			7480025	+	-	predicted RNA	antisense: SCO6725	270	487	0,987619645	0,554414784	-0,850962365
7518807			7518337	-	-	predicted RNA	antisense: SCO6762	233	507	2,54E-04	0,459566075	-1,121655792
7632084			7632134	+	-	predicted RNA	antisense: SCO6861	100	254	0,395826087	0,393700787	-1,344828497
8016652			8016794	+	-	predicted RNA	-	420	523	1	0,803059273	-0,316421619
8216456			8216436	-	-	predicted RNA	-	554	403	0,895739117	1,374689826	0,459106138
8243552			8243856	+	-	predicted RNA	antisense: SCO7429	503	390	0,866730967	1,28974359	0,367084276
8279449			8279479	+	-	predicted RNA	-	273	200	0,895739117	1365	0,448900951
8623412			8623229	-	-	predicted RNA	antisense: SCO7803	746	1132	0,108048369	0,659010601	-0,601626423
8624165			8624025	-	-	predicted RNA	antisense: SCO7803	300	369	1	0,81300813	-0,298658316
	446	1123		+	-	SCO0001	hypothetical protein	18	10	0,525288784	1,8	0,847996907
	1252	3813		+	-	SCO0002	hypothetical protein	10	7	1	1,428571429	0,514573173
	3869	6220		+	-	SCO0003	DNA-binding protein	7	5	1	1,4	0,485426827
	6226	7173		+	-	SCO0004	hypothetical protein	3	3	1	1	0
	7187	9307		+	-	SCO0005	transposase	1	1	1	1	0
	9304	10410		+	-	SCO0006	ATP/GTP-binding protein	1	1	1	1	0
	11000	10554		-	-	SCO0007	hypothetical protein	1	1	1	1	0
	11360	11010		-	-	SCO0008	hypothetical protein	2	1	1	2	1
	11952	11617		-	-	SCO0009	hypothetical protein	4	1	1	4	2
	12366	13457		+	-	SCO0010	hypothetical protein	6	11	1	0,545454545	-0,874469118
	14023	13214		-	-	SCO0011	hypothetical protein	6	11	1	0,545454545	-0,874469118
14477	14454	14044	14024	-	-	SCO0012	hypothetical protein	26	29	1	0,896551724	-0,157541277
	15029	14739		-	-	SCO0013	hypothetical protein	1	1	1	1	0
	15595	15317		-	-	SCO0014	hypothetical protein	2	10	1	0,2	-2,321928095
	17302	16070		-	-	SCO0015	Na+/H+ antiporter	1	1	1	1	0
	17715	17918		+	-	SCO0016	hypothetical protein	5	1	1	5	2,321928095
	17919	18263		+	-	SCO0017	hypothetical protein	1	1	1	1	0
19406	19351	18485	18485	-	-	SCO0018	hypothetical protein	47	31	0,515308033	1,516129032	0,600392541
	19771	19517		-	-	SCO0019	hypothetical protein	1	1	1	1	0
	19974	21620		+	-	SCO0020	transposase	2	1	1	2	1
	21617	22210		+	-	SCO0021	hypothetical protein	1	2	1	0,5	-1
	22761	22156		-	-	SCO0022	IS element ATP-binding protein	1	1	1	1	0
	22843	23061		+	-	SCO0025	IS element ATP-binding protein	1	1	1	1	0
23316	23316	23831	23864	+	-	SCO0026	hypothetical protein	45	37	1	1,216216216	0,282399731
	24345	23977		-	-	SCO0027	hypothetical protein	1	1	1	1	0
	24521	24378		-	-	SCO0028	hypothetical protein	1	1	1	1	0
	24644	24943		+	-	SCO0029	hypothetical protein	8	17	1	0,470588235	-1,087462841
	25251	25871		+	-	SCO0030	hypothetical protein	1	1	1	1	0
	26385	25843		-	-	SCO0031	hypothetical protein	14	13	1	1,076923077	0,106915204
	28773	26527		-	-	SCO0033	neuraminidase	1	1	1	1	0
	29040	29519		+	-	SCO0034	hypothetical protein	1	1	1	1	0
	30054	29605		-	-	SCO0035	hypothetical protein	1	1	1	1	0
	30355	30116		-	-	SCO0036	hypothetical protein	2	15	1	0,133333333	-2,906890596
31131	31131	30379	30379	-	-	SCO0037	sigma factor	35	36	1	0,972222222	-0,040641984
31283	31274	31146	31132	-	-	SCO0038	sigma factor	219	207	1	1,057971014	0,081300102
	31520	32137		+	-	SCO0039	hypothetical protein	1	1	1	1	0
	32134	33357		+	-	SCO0040	glycosyl transferase	1	1	1	1	0
	33360	33845		+	-	SCO0041	hypothetical protein	1	1	1	1	0
	33842	34777		+	-	SCO0042	hypothetical protein	1	1	1	1	0
	35907	35179		-	-	SCO0043	hypothetical protein	2	2	1	1	0
	36674	36006		-	-	SCO0044	oxidoreductase	1	3	1	0,333333333	-1,584962501
	36817	36689		-	-	SCO0045	hypothetical protein	1	2	1	0,5	-1
	36816	37478		+	-	SCO0046	hydrolase	4	1	1	4	2
38768	38768	37614	37475	-	-	SCO0047	transcriptional regulator	43	41	1	1,048780488	0,06871275
	39490	39107		-	-	SCO0048	hypothetical protein	1	1	1	1	0
	39489	39812		+	-	SCO0049	hypothetical protein	2	5	1	0,4	-1,321928095
	39877	40212		+	-	SCO0050	hypothetical protein	1	7	1	0,142857143	-2,807354922
43682	43682	42171	42114	-	-	SCO0055	membrane-associated oxidoreductase	99	76	0,872702474	1,302631579	0,381429107
	43768	43857		+	-	SCO0056	hypothetical protein	1	1	1	1	0
	43950	44090		+	-	SCO0057	hypothetical protein	2	1	1	2	1
44253	44253	44975	44975	+	-	SCO0058	hypothetical protein	43	30	0,739360468	1,433333333	0,519374159
	45267	46073		+	-	SCO0059	zinc-binding oxidoreductase	12	7	1	1,714285714	0,777607579
	46064	46201		+	-	SCO0060	hypothetical protein	6	7	1	0,857142857	-0,222392421
	47734	46430		-	-	SCO0061	hypothetical protein	10	12	1	0,833333333	-0,263034406
	48892	47789		-	-	SCO0062	LacI family transcriptional regulator	19	15	1	1,266666667	0,341036918
	49824	48889		-	-	SCO0063	glucokinase	9	9	1	1	0
	51539	49821		-	-	SCO0064	hypothetical protein	4	2	1	2	1
	51831	53144		+	-	SCO0065	extracellular binding protein	1	1	1	1	0
	53141	54100		+	-	SCO0066	integral membrane permease	1	1	1	1	0
	54097	54918		+	-	SCO0067	integral membrane permease	1	1	1	1	0
	54968	56173		+	-	SCO0068	hydrolase	1	1	1	1	0
	56225	59383		+	-	SCO0069	hypothetical protein	1	1	1	1	0
	59558	60241		+	-	SCO0070	hypothetical protein	1	1	1	1	0
	60275	60069		-	-	SCO0071	hypothetical protein	1	6	1	0,166666667	-2,584962501
	64093	60740		-	-	SCO0072	hypothetical protein	16	2	1	8	3
	64605	64925		+	-	SCO0073	hypothetical protein	2	1	1	2	1
	64994	65092		+	-	SCO0074	hypothetical protein	1	2	1	0,5	-1
	65092	65679		+	-	SCO0075	hypothetical protein	6	8	1	0,75	-0,415037499
	67911	66688		-	-	SCO0079	integral membrane transport protein	1	1	1	1	0
	68372	68887		+	-	SCO0080	hypothetical protein	2	7	1	0,285714286	-1,807354922
	69799	70647		+	-	SCO0083	transposase	1	1	1	1	0
	70777	71235		+	-	SCO0084	hypothetical protein	7	6	1	1,166666667	0,222392421
	72139	71648		-	-	SCO0085	hypothetical protein	1	1	1	1	0
	73097	72159		-	-	SCO0086	ribosylglycohydrolase	6	5	1	1,2	0,263034406
	74833	73784		-	-	SCO0087	hypothetical protein	13	9	1	1,444444444	0,530514717
	75876	74917		-	-	SCO0088	beta-lactamase	9	8	1	1125	0,169925001
	75856	76893		+	-	SCO0089	transcriptional regulator	24	18	1	1,333333333	0,415037499
	77314	76895		-	-	SCO0090	transposase	11	12	1	0,916666667	-0,125530882
	77315	78271		+	-	SCO0091	IS1652 transposase	34	18	0,149912984	1,888888889	0,91753784
	79702	78983		-	-	SCO0095	hypothetical protein	1	1	1	1	0
80735	80690	79839	79839	-	-	SCO0096	noncomposite transposon transposase	40	47	1	0,85106383	-0,232660757
81179	81165	80845	80845	-	-	SCO0097	hypothetical protein	80	136	0,53790474	0,588235294	-0,765534746
	82441	81602		-	-	SCO0098	transposase	8	6	1	1,333333333	0,415037499
84196	83992	83516	83484	-	-	SCO0101	hypothetical protein	81	79	1	1,025316456	0,036069255
	84893	85339		+	-	SCO0102	hypothetical protein	22	15	0,811912293	1,466666667	0,552541023
	85336	86643		+	-	SCO0103	flavohemoprotein	22	12	0,174009115	1,833333333	0,874469118
	86640	87311		+	-	SCO0104	hydrolase	17	9	1	1,888888889	0,91753784
	88632	87907		-	-	SCO0105	endo-1,4-beta-xylanase	1	1	1	1	0
	89073	89465		+	-	SCO0106	insertion element transposase	1	3	1	0,333333333	-1,584962501
	90043	89486		-	-	SCO0107	aminoglycoside nucleotidyltransferase	1	4	1	0,25	-2
	90242	90391		+	-	SCO0108	hypothetical protein	2	1	1	2	1
	90865	90395		-	-	SCO0109	hypothetical protein	3	2	1	1,5	0,584962501
	91790	90951		-	-	SCO0110	DNA-binding protein	20	15	1	1,333333333	0,415037499
	91977	92729		+	-	SCO0111	oxidoreductase	1	1	1	1	0
	92928	92773		-	-	SCO0112	hypothetical protein	1	1	1	1	0
	94872	94306		-	-	SCO0116	TetR family transcriptional regulator	18	20	1	0,9	-0,152003093
	94989	95681		+	-	SCO0117	short chain dehydrogenase	3	1	1	3	1,584962501
95969	95989	97518	97780	+	-	SCO0118	xylosidase/arabinosidase	28	33	1	0,848484848	-0,237039197
	98281	97760		-	-	SCO0119	hypothetical protein	2	1	1	2	1
	99338	98463		-	-	SCO0120	hypothetical protein	1	1	1	1	0
