Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;M145;MGM12;qValue;fold;log2(fold)
;628588;628247;;-;-;SCO0586;hypothetical protein;1;1;1;1;0
;653165;652881;;-;-;SCO0614;hypothetical protein;1;1;1;1;0
;667096;665816;;-;-;SCO0625;transporter;1;1;1;1;0
;667744;667100;;-;-;SCO0626;hypothetical protein;1;1;1;1;0
;669870;667741;;-;-;SCO0627;ATP-utilizing protein;1;1;1;1;0
;685095;684409;;-;-;SCO0643;cellulose-binding protein;1;1;1;1;0
;691320;691832;;+;-;SCO0650;gas vesicle synthesis-like protein;1;1;1;1;0
;692619;692897;;+;-;SCO0652;gas vesicle synthesis protein;1;1;1;1;0
;694782;695624;;+;-;SCO0656;gas vesicle synthesis protein;1;1;1;1;0
;695866;696168;;+;-;SCO0658;gas vesicle synthesis protein;1;1;1;1;0
;714181;712829;;-;-;SCO0674;endo-1,4-beta-xylanase;1;1;1;1;0
;714374;717028;;+;-;SCO0675;hypothetical protein;1;1;1;1;0
;726395;725619;;-;-;SCO0684;hypothetical protein;1;1;1;1;0
;747194;745911;;-;-;SCO0706;lipoprotein;1;1;1;1;0
;748387;747191;;-;-;SCO0707;branched-chain amino acid ABC transporter permease;1;1;1;1;0
;749279;748380;;-;-;SCO0708;branched-chain amino acid ABC transporter;1;1;1;1;0
;750076;749276;;-;-;SCO0709;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;750864;750073;;-;-;SCO0710;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;753197;751917;;-;-;SCO0711;hypothetical protein;1;1;1;1;0
;756143;753318;;-;-;SCO0712;transcriptional activator;1;1;1;1;0
;757246;756314;;-;-;SCO0713;lipase;1;1;1;1;0
;759197;760399;;+;-;SCO0716;glycosyl hydrolase;1;1;1;1;0
;787643;786984;;-;-;SCO0745;TetR family transcriptional regulator;1;1;1;1;0
;787843;789096;;+;-;SCO0746;Ser/Thr protein kinase;1;1;1;1;0
;796002;794689;;-;-;SCO0752;protease;1;1;1;1;0
;812415;810172;;-;-;SCO0765;endoglucanase;1;1;1;1;0
;833198;832515;;-;-;SCO0785;hypothetical protein;1;1;1;1;0
;833931;835199;;+;-;SCO0787;hydrolase;1;1;1;1;0
;858172;857132;;-;-;SCO0810;ABC transporter permease;1;1;1;1;0
;859686;858169;;-;-;SCO0811;ABC transporter ATP-binding protein;1;1;1;1;0
;890835;892211;;+;-;SCO0842;deoxyribodipyrimidine photolyase;1;1;1;1;0
;922175;921927;;-;-;SCO0876;hypothetical protein;1;1;1;1;0
;926916;927332;;+;-;SCO0880;hypothetical protein;1;1;1;1;0
;928670;929017;;+;-;SCO0882;hypothetical protein;1;1;1;1;0
;938389;939612;;+;-;SCO0893;hypothetical protein;1;1;1;1;0
;960292;959024;;-;-;SCO0914;lipoprotein;1;1;1;1;0
;978713;979324;;+;-;SCO0931;proline-rich protein;1;1;1;1;0
;979340;980104;;+;-;SCO0932;hypothetical protein;1;1;1;1;0
;980316;980834;;+;-;SCO0933;lipoprotein;1;1;1;1;0
;983044;982439;;-;-;SCO0936;oligosaccharide deacetylase;1;1;1;1;0
;987876;986722;;-;-;SCO0941;lipoprotein;1;1;1;1;0
;993366;994778;;+;-;SCO0947;hypothetical protein;1;1;1;1;0
;999210;997963;;-;-;SCO0949;hypothetical protein;1;1;1;1;0
;1000162;999242;;-;-;SCO0950;transport system permease;1;1;1;1;0
;1001091;1000159;;-;-;SCO0951;transport system permease;1;1;1;1;0
;1002390;1001098;;-;-;SCO0952;solute-binding protein;1;1;1;1;0
;1018138;1017707;;-;-;SCO0964;hypothetical protein;1;1;1;1;0
;1021237;1020695;;-;-;SCO0968;hypothetical protein;1;1;1;1;0
;1031372;1031136;;-;-;SCO0979;hypothetical protein;1;1;1;1;0
;1035208;1036800;;+;-;SCO0983;malate synthase;1;1;1;1;0
;1036797;1037666;;+;-;SCO0984;3-hydroxybutyryl-CoA dehydrogenase;1;1;1;1;0
;1057387;1057749;;+;-;SCO1001;hypothetical protein;1;1;1;1;0
;1061552;1061415;;-;-;SCO1006;hypothetical protein;1;1;1;1;0
;1063013;1061871;;-;-;SCO1007;oxidoreductase;1;1;1;1;0
;1064155;1063535;;-;-;SCO1009;transposase;1;1;1;1;0
;1071656;1071312;;-;-;SCO1015;hypothetical protein;1;1;1;1;0
;1091114;1088547;;-;-;SCO1031;ABC transporter;1;1;1;1;0
;1092141;1091857;;-;-;SCO1033;hypothetical protein;1;1;1;1;0
;1100772;1099831;;-;-;SCO1044;hypothetical protein;1;1;1;1;0
;1106194;1105031;;-;-;SCO1049;oxidoreductase;1;1;1;1;0
;1108778;1108110;;-;-;SCO1052;regulatory protein;1;1;1;1;0
;1109432;1109004;;-;-;SCO1053;hypothetical protein;1;1;1;1;0
;1120834;1119167;;-;-;SCO1061;bifunctional sugar binding protein/sugar hydrolase;1;1;1;1;0
;1123006;1120925;;-;-;SCO1062;hydrolase;1;1;1;1;0
;1123960;1123067;;-;-;SCO1063;sugar transport integral membrane protein;1;1;1;1;0
;1124898;1123963;;-;-;SCO1064;sugar transport integral membrane protein;1;1;1;1;0
;1126256;1124895;;-;-;SCO1065;sugar transport sugar binding protein;1;1;1;1;0
;1137052;1136858;;-;-;SCO1076;hypothetical protein;1;1;1;1;0
;1167193;1167993;;+;-;SCO1110;lyase;1;1;1;1;0
;1200394;1201473;;+;-;SCO1142;oxidoreductase;1;1;1;1;0
;1218137;1217724;;-;-;SCO1158;hypothetical protein;1;1;1;1;0
;1221178;1218590;;-;-;SCO1160;hypothetical protein;1;1;1;1;0
;1221975;1221241;;-;-;SCO1161;hypothetical protein;1;1;1;1;0
;1239002;1238595;;-;-;SCO1175;hypothetical protein;1;1;1;1;0
;1259461;1260606;;+;-;SCO1187;cellulase B;1;1;1;1;0
;1260854;1261948;;+;-;SCO1188;cellulose binding protein;1;1;1;1;0
;1291352;1290957;;-;-;SCO1219;hypothetical protein;1;1;1;1;0
;1300331;1297131;;-;-;SCO1226;hypothetical protein;1;1;1;1;0
;1312684;1313157;;+;-;SCO1240;hypothetical protein;1;1;1;1;0
;1337876;1336608;;-;-;SCO1266;3-oxoacyl-ACP synthase;1;1;1;1;0
;1338130;1337873;;-;-;SCO1267;acyl carrier protein;1;1;1;1;0
;1340376;1339363;;-;-;SCO1269;pyruvate dehydrogenase subunit beta;1;1;1;1;0
;1341344;1340373;;-;-;SCO1270;pyruvate dehydrogenase subunit alpha;1;1;1;1;0
;1342317;1341355;;-;-;SCO1271;3-oxoacyl-ACP synthase;1;1;1;1;0
;1342589;1342317;;-;-;SCO1272;acyl carrier protein;1;1;1;1;0
;1344856;1346613;;+;-;SCO1275;halogenase;1;1;1;1;0
;1349799;1350677;;+;-;SCO1279;hypothetical protein;1;1;1;1;0
;1351976;1350735;;-;-;SCO1280;hypothetical protein;1;1;1;1;0
;1353985;1353407;;-;-;SCO1282;oxidoreductase;1;1;1;1;0
;1354445;1353978;;-;-;SCO1283;hypothetical protein;1;1;1;1;0
;1355912;1354527;;-;-;SCO1284;aminotransferase;1;1;1;1;0
;1357030;1355909;;-;-;SCO1285;ketoreductase;1;1;1;1;0
;1358209;1357085;;-;-;SCO1286;oxidoreductase;1;1;1;1;0
;1359243;1358281;;-;-;SCO1287;hypothetical protein;1;1;1;1;0
;1383788;1382544;;-;-;SCO1306;hypothetical protein;1;1;1;1;0
;1400449;1399280;;-;-;SCO1324;3-ketoacyl-CoA thiolase;1;1;1;1;0
;1404566;1403709;;-;-;SCO1328;hypothetical protein;1;1;1;1;0
;1405034;1404801;;-;-;SCO1329;hypothetical protein;1;1;1;1;0
;1409722;1408850;;-;-;SCO1332;hypothetical protein;1;1;1;1;0
;1410027;1410995;;+;-;SCO1333;hypothetical protein;1;1;1;1;0
;1425591;1426211;;+;-;SCO1350;hypothetical protein;1;1;1;1;0
;1432225;1431662;;-;-;SCO1354;hypothetical protein;1;1;1;1;0
;1433899;1432286;;-;-;SCO1355;serine protease;1;1;1;1;0
;1442967;1443134;;+;-;SCO1365;hypothetical protein;1;1;1;1;0
;1510276;1510470;;+;-;SCO1415;hypothetical protein;1;1;1;1;0
;1524785;1526038;;+;-;SCO1429;chitinase;1;1;1;1;0
;1543064;1543432;;+;-;SCO1446;hypothetical protein;1;1;1;1;0
;1554174;1553815;;-;-;SCO1456;hypothetical protein;1;1;1;1;0
;1645023;1642555;;-;-;SCO1536;hypothetical protein;1;1;1;1;0
;1647893;1646907;;-;-;SCO1538;transport system membrane protein;1;1;1;1;0
;1674773;1674273;;-;-;SCO1564;RNA polymerase sigma factor;1;1;1;1;0
;1685643;1686383;;+;-;SCO1575;thiamine biosynthesis lipoprotein;1;1;1;1;0
;1695109;1692635;;-;-;SCO1583;arabinosidase;1;1;1;1;0
;1724729;1723278;;-;-;SCO1612;aldehyde dehydrogenase;1;1;1;1;0
;1813536;1812259;;-;-;SCO1693;hypothetical protein;1;1;1;1;0
;1816297;1813616;;-;-;SCO1694;penicillin acylase;1;1;1;1;0
;1843034;1842282;;-;-;SCO1722;hypothetical protein;1;1;1;1;0
;1843588;1843031;;-;-;SCO1723;RNA polymerase sigma factor SigK;1;1;1;1;0
;1853898;1853026;;-;-;SCO1735;lipase;1;1;1;1;0
;1859718;1860782;;+;-;SCO1740;hypothetical protein;1;1;1;1;0
;1877577;1878374;;+;-;SCO1756;hypothetical protein;1;1;1;1;0
;1878448;1878741;;+;-;SCO1757;hypothetical protein;1;1;1;1;0
;1883621;1884016;;+;-;SCO1763;iron-sulfur protein;1;1;1;1;0
;1998165;1996945;;-;-;SCO1863;hypothetical protein;1;1;1;1;0
;2012792;2011647;;-;-;SCO1879;pectinesterase;1;1;1;1;0
;2014193;2012859;;-;-;SCO1880;pectate lyase;1;1;1;1;0
;2015061;2014258;;-;-;SCO1881;hypothetical protein;1;1;1;1;0
;2021993;2021058;;-;-;SCO1887;integral membrane transport protein;1;1;1;1;0
;2026183;2025584;;-;-;SCO1891;hypothetical protein;1;1;1;1;0
;2026325;2027572;;+;-;SCO1892;integral membrane efflux protein;1;1;1;1;0
;2032364;2033734;;+;-;SCO1898;substrate binding protein;1;1;1;1;0
;2034672;2035550;;+;-;SCO1900;integral membrane sugar transport protein;1;1;1;1;0
;2162584;2161226;;-;-;SCO2017;amino acid decarboxylase;1;1;1;1;0
;2179318;2180595;;+;-;SCO2029;hypothetical protein;1;1;1;1;0
;2180592;2181770;;+;-;SCO2030;hypothetical protein;1;1;1;1;0
;2181758;2183161;;+;-;SCO2031;hypothetical protein;1;1;1;1;0
;2183119;2184333;;+;-;SCO2032;hypothetical protein;1;1;1;1;0
;2256540;2257046;;+;-;SCO2099;hypothetical protein;1;1;1;1;0
;2305901;2307199;;+;-;SCO2145;glycerate kinase;1;1;1;1;0
;2382518;2382072;;-;-;SCO2218;lipoprotein;1;1;1;1;0
;2385265;2386155;;+;-;SCO2221;hypothetical protein;1;1;1;1;0
;2386152;2387246;;+;-;SCO2222;iron-sulfur oxidoreductase;1;1;1;1;0
;2498675;2498289;;-;-;SCO2327;hypothetical protein;1;1;1;1;0
;2574719;2575690;;+;-;SCO2403;hypothetical protein;1;1;1;1;0
;2583998;2582733;;-;-;SCO2409;hypothetical protein;1;1;1;1;0
;2584839;2584078;;-;-;SCO2410;hypothetical protein;1;1;1;1;0
;2585440;2584886;;-;-;SCO2411;hypothetical protein;1;1;1;1;0
;2586126;2585467;;-;-;SCO2412;hypothetical protein;1;1;1;1;0
;2586635;2586123;;-;-;SCO2413;hypothetical protein;1;1;1;1;0
;2589171;2587930;;-;-;SCO2415;hypothetical protein;1;1;1;1;0
;2590181;2589168;;-;-;SCO2416;hypothetical protein;1;1;1;1;0
;2591233;2590178;;-;-;SCO2417;hypothetical protein;1;1;1;1;0
;2592294;2591230;;-;-;SCO2418;hypothetical protein;1;1;1;1;0
;2593547;2592291;;-;-;SCO2419;hypothetical protein;1;1;1;1;0
;2594355;2593549;;-;-;SCO2420;ABC-transporter integral membrane protein;1;1;1;1;0
;2595126;2594362;;-;-;SCO2421;ABC-transporter integral membrane protein;1;1;1;1;0
;2597556;2599157;;+;-;SCO2424;hypothetical protein;1;1;1;1;0
;2599192;2600133;;+;-;SCO2425;hypothetical protein;1;1;1;1;0
;2602537;2601569;;-;-;SCO2427;arabinase;1;1;1;1;0
;2602879;2604447;;+;-;SCO2428;phosphate binding protein;1;1;1;1;0
;2605133;2604477;;-;-;SCO2429;hypothetical protein;1;1;1;1;0
;2610760;2609897;;-;-;SCO2432;sugar transporter membrane protein;1;1;1;1;0
;2611698;2610757;;-;-;SCO2433;sugar transporter membrane protein;1;1;1;1;0
;2613053;2611695;;-;-;SCO2434;sugar transporter sugar binding protein;1;1;1;1;0
;2638132;2639559;;+;-;SCO2452;two-component sensor histidine kinase;1;1;1;1;0
;2665196;2666839;;+;-;SCO2474;metalloproteinase;1;1;1;1;0
;2688116;2689894;;+;-;SCO2495;hypothetical protein;1;1;1;1;0
;2699686;2701119;;+;-;SCO2502;transporter;1;1;1;1;0
;2735154;2733655;;-;-;SCO2536;transmembrane transport protein;1;1;1;1;0
;2740222;2738852;;-;-;SCO2541;transmembrane transport protein;1;1;1;1;0
;2742547;2741579;;-;-;SCO2543;5-dehydro-4-deoxyglucarate dehydratase;1;1;1;1;0
;2772445;2769878;;-;-;SCO2567;hypothetical protein;1;1;1;1;0
;2931848;2932993;;+;-;SCO2688;riboflavin-specific deaminase;1;1;1;1;0
;2932990;2934117;;+;-;SCO2689;hypothetical protein;1;1;1;1;0
;2935475;2936632;;+;-;SCO2691;hypothetical protein;1;1;1;1;0
;2942785;2942904;;+;-;SCO2698;small hydrophilic protein;1;1;1;1;0
;2943092;2943364;;+;-;SCO2699;small membrane protein;1;1;1;1;0
;2944875;2944306;;-;-;SCO2701;tyrosinase co-factor;1;1;1;1;0
;2945510;2944995;;-;-;SCO2702;hypothetical protein;1;1;1;1;0
;2945917;2945615;;-;-;SCO2703;hypothetical protein;1;1;1;1;0
;2946828;2946094;;-;-;SCO2704;hypothetical protein;1;1;1;1;0
;2952033;2953604;;+;-;SCO2709;hypothetical protein;1;1;1;1;0
;2953648;2954337;;+;-;SCO2710;polysaccharide deacetylase;1;1;1;1;0
;2954348;2955550;;+;-;SCO2711;glycosyl transferase;1;1;1;1;0
;2955547;2956266;;+;-;SCO2712;hypothetical protein;1;1;1;1;0
;2956263;2957411;;+;-;SCO2713;hypothetical protein;1;1;1;1;0
;2958781;2960079;;+;-;SCO2715;hypothetical protein;1;1;1;1;0
;2964695;2962767;;-;-;SCO2720;long-chain fatty acid ligase;1;1;1;1;0
;3062230;3063669;;+;-;SCO2805;hypothetical protein;1;1;1;1;0
;3070648;3071898;;+;-;SCO2812;drug efflux protein;1;1;1;1;0
;3077642;3078952;;+;-;SCO2818;hypothetical protein;1;1;1;1;0
;3102936;3102196;;-;-;SCO2841;hypothetical protein;1;1;1;1;0
;3104547;3104452;;-;-;SCO2844;hypothetical protein;1;1;1;1;0
;3111998;3113431;;+;-;SCO2854;transmembrane efflux protein;1;1;1;1;0
;3181553;3180504;;-;-;SCO2929;transposase;1;1;1;1;0
;3213669;3214232;;+;-;SCO2956;hypothetical protein;1;1;1;1;0
;3246749;3249046;;+;-;SCO2981;glycosyl transferase;1;1;1;1;0
;3249066;3251276;;+;-;SCO2982;glycosyl transferase;1;1;1;1;0
;3251284;3253521;;+;-;SCO2983;glycosyl transferase;1;1;1;1;0
;3253518;3254849;;+;-;SCO2984;hypothetical protein;1;1;1;1;0
;3275946;3275599;;-;-;SCO3003;hypothetical protein;1;1;1;1;0
;3413129;3413025;;-;-;SCO3112;hypothetical protein;1;1;1;1;0
;3413130;3413195;;+;-;SCO3113;hypothetical protein;1;1;1;1;0
;3442183;3442347;;+;-;SCO3143;hypothetical protein;1;1;1;1;0
;3470354;3473869;;+;-;SCO3168;protease;1;1;1;1;0
;3520903;3519449;;-;-;SCO3210;2-dehydro-3-deoxyheptonate aldolase;1;1;1;1;0
;3522680;3521673;;-;-;SCO3212;anthranilate phosphoribotransferase;1;1;1;1;0
;3523299;3522697;;-;-;SCO3213;anthranilate synthase component II;1;1;1;1;0
;3534346;3533492;;-;-;SCO3221;prephenate dehydrogenase;1;1;1;1;0
;3590134;3588746;;-;-;SCO3237;hypothetical protein;1;1;1;1;0
;3592889;3592179;;-;-;SCO3240;hypothetical protein;1;1;1;1;0
;3594630;3593755;;-;-;SCO3242;puitative transferase;1;1;1;1;0
;3596640;3595843;;-;-;SCO3244;hypothetical protein;1;1;1;1;0
;3599009;3598017;;-;-;SCO3246;3-oxoacyl-ACP synthase;1;1;1;1;0
;3600808;3599006;;-;-;SCO3247;acyl CoA oxidase;1;1;1;1;0
;3602078;3600858;;-;-;SCO3248;3-oxoacyl-ACP synthase;1;1;1;1;0
;3605504;3604104;;-;-;SCO3252;replication initiator protein;1;1;1;1;0
;3605911;3605594;;-;-;SCO3253;SpdD protein;1;1;1;1;0
;3606090;3605935;;-;-;SCO3254;SpdC protein;1;1;1;1;0
;3606263;3606102;;-;-;SCO3255;SpdB protein;1;1;1;1;0
;3606979;3606326;;-;-;SCO3256;SpdA protein;1;1;1;1;0
;3614592;3614368;;-;-;SCO3265;hypothetical protein;1;1;1;1;0
;3614792;3614589;;-;-;SCO3266;hypothetical protein;1;1;1;1;0
;3614834;3615034;;+;-;SCO3267;hypothetical protein;1;1;1;1;0
;3622590;3623804;;+;-;SCO3279;integral membrane efflux protein;1;1;1;1;0
;3623801;3624412;;+;-;SCO3280;hypothetical protein;1;1;1;1;0
;3636329;3636847;;+;-;SCO3287;serine/arginine rich protein;1;1;1;1;0
;3802689;3803408;;+;-;SCO3440;hypothetical protein;1;1;1;1;0
;3827457;3828962;;+;-;SCO3468;transposase;1;1;1;1;0
;3860717;3860040;;-;-;SCO3495;aldolase;1;1;1;1;0
;3879503;3878757;;-;-;SCO3510;DNA methylase;1;1;1;1;0
;3881317;3881625;;+;-;SCO3512;hypothetical protein;1;1;1;1;0
;3882333;3883742;;+;-;SCO3514;ATP-binding protein;1;1;1;1;0
;3883874;3885340;;+;-;SCO3515;hypothetical protein;1;1;1;1;0
;3885367;3885819;;+;-;SCO3516;hypothetical protein;1;1;1;1;0
;3885882;3887351;;+;-;SCO3517;ATP-binding protein;1;1;1;1;0
;3887444;3888079;;+;-;SCO3518;hypothetical protein;1;1;1;1;0
;3888210;3888821;;+;-;SCO3519;hypothetical protein;1;1;1;1;0
;3888872;3889636;;+;-;SCO3520;hypothetical protein;1;1;1;1;0
;3892682;3893122;;+;-;SCO3525;hypothetical protein;1;1;1;1;0
;3893187;3894470;;+;-;SCO3526;hypothetical protein;1;1;1;1;0
;3894467;3894697;;+;-;SCO3527;hypothetical protein;1;1;1;1;0
;3894706;3895866;;+;-;SCO3528;hypothetical protein;1;1;1;1;0
;3897241;3897840;;+;-;SCO3530;hypothetical protein;1;1;1;1;0
;3897837;3898616;;+;-;SCO3531;hypothetical protein;1;1;1;1;0
;3898613;3899089;;+;-;SCO3532;hypothetical protein;1;1;1;1;0
;3899086;3899751;;+;-;SCO3533;hypothetical protein;1;1;1;1;0
;3963576;3963217;;-;-;SCO3584;hypothetical protein;1;1;1;1;0
;3965649;3966812;;+;-;SCO3588;hypothetical protein;1;1;1;1;0
;3975600;3974836;;-;-;SCO3598;hypothetical protein;1;1;1;1;0
;4021137;4019875;;-;-;SCO3642;hypothetical protein;1;1;1;1;0
;4064868;4064575;;-;-;SCO3680;hypothetical protein;1;1;1;1;0
;4071573;4071163;;-;-;SCO3689;hypothetical protein;1;1;1;1;0
;4075130;4074756;;-;-;SCO3694;transcriptional regulator;1;1;1;1;0
;4079499;4079729;;+;-;SCO3701;hypothetical protein;1;1;1;1;0
;4097454;4098950;;+;-;SCO3723;regulatory protein;1;1;1;1;0
;4121664;4121933;;+;-;SCO3751;hypothetical protein;1;1;1;1;0
;4127978;4125465;;-;-;SCO3754;ABC transporter;1;1;1;1;0
;4132060;4131008;;-;-;SCO3758;fatty acid desaturase;1;1;1;1;0
;4146976;4145930;;-;-;SCO3772;hypothetical protein;1;1;1;1;0
;4160042;4160218;;+;-;SCO3783;lipoprotein;1;1;1;1;0
;4225790;4226674;;+;-;SCO3842;dioxygenase;1;1;1;1;0
;4325990;4326556;;+;-;SCO3930;hypothetical protein;1;1;1;1;0
;4328521;4328871;;+;-;SCO3933;regulatory protein;1;1;1;1;0
;4328871;4330172;;+;-;SCO3934;ftsK/SpoIIIE family protein;1;1;1;1;0
;4330169;4330366;;+;-;SCO3935;hypothetical protein;1;1;1;1;0
