Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;M145;MGM11;qValue;fold;log2(fold)
6139894;;;6140849;+;-;predicted RNA;antisense: SCO5641 SCO5642;281;1193;6,21E-28;0,235540654;-2,085952007
3037084;;;3037105;+;-;predicted RNA;-;383;26;8,36E-28;14,73076923;3,880760864
4592469;;;4593421;+;-;predicted RNA;antisense: SCO4183;281;1182;3,50E-27;0,237732657;-2,072588
373990;;;373039;-;-;predicted RNA;antisense: SCO0368;279;1179;3,68E-27;0,236641221;-2,079226691
78260;;;77315;-;-;predicted RNA;antisense: SCO0091;280;1185;4,31E-27;0,23628692;-2,081388327
3040683;;;3040723;+;-;predicted RNA;-;409;32;3,25E-25;12,78125;3,675957033
8624175;;;8623983;-;-;predicted RNA;antisense: SCO7803;249;1195;1,95E-24;0,208368201;-2,262792971
1469674;;;1469844;+;-;predicted RNA;antisense: rrnC;30;266;2,87E-23;0,112781955;-3,14839184
1917552;;;1917722;+;-;predicted RNA;antisense: rrnB;30;266;2,87E-23;0,112781955;-3,14839184
3297712;;;3297882;+;-;predicted RNA;antisense: SCOr08;30;266;2,87E-23;0,112781955;-3,14839184
3686485;;;3686655;+;-;predicted RNA;antisense: rrnF;30;266;2,87E-23;0,112781955;-3,14839184
4534717;;;4534547;-;-;predicted RNA;antisense: rrnA;30;266;2,87E-23;0,112781955;-3,14839184
6274041;;;6273871;-;-;predicted RNA;antisense: rrnE;30;266;2,87E-23;0,112781955;-3,14839184
5103511;;;5103657;+;-;predicted RNA;antisense: SCO4672;39;322;3,22E-21;0,121118012;-3,045514659
1666819;;;1666551;-;-;predicted RNA;-;127;612;1,25E-20;0,20751634;-2,268703156
7632020;;;7632194;+;-;predicted RNA;antisense: SCO6861;86;513;3,14E-20;0,167641326;-2,576550261
5785766;;;5786009;+;-;predicted RNA;antisense: SCO5314;37;261;5,71E-20;0,141762452;-2,818452631
4786446;;;4785495;-;-;predicted RNA;antisense: SCO4370;267;1014;1,44E-19;0,263313609;-1,925146005
3669442;;;3669905;+;-;predicted RNA;antisense: hemC SCO3317;315;993;2,23E-15;0,317220544;-1,656441889
5115052;;;5114866;-;-;predicted RNA;antisense: SCO4685;50;304;1,38E-14;0,164473684;-2,604071324
1517218;;;1517347;+;-;predicted RNA;-;454;1653;3,25E-14;0,274652148;-1,864322522
3511189;;;3511324;+;-;predicted RNA;antisense: SCO3202;41;287;7,90E-14;0,142857143;-2,807354922
510822;;;510781;-;-;predicted RNA;antisense: SCO0488;267;27;1,29E-13;9,888888889;3,30580843
2982232;;;2982571;+;-;predicted RNA;-;414;1223;2,41E-13;0,338511856;-1,562721731
805851;;;805745;-;-;predicted RNA;antisense: SCO0760;340;47;3,95E-12;7,234042553;2,854802084
5556612;;;5556563;-;-;predicted RNA;-;22;229;4,09E-12;0,096069869;-3,379772169
1925006;;;1925093;+;-;predicted RNA;-;36;281;5,05E-12;0,128113879;-2,964501319
3208723;;;3208818;+;-;predicted RNA;-;477;1699;6,23E-12;0,280753384;-1,832624681
1470832;;;1470857;+;-;predicted RNA;antisense: rrnC;17;174;7,24E-12;0,097701149;-3,355480655
3298870;;;3298895;+;-;predicted RNA;antisense: SCOr08;17;174;7,24E-12;0,097701149;-3,355480655
3687643;;;3687668;+;-;predicted RNA;antisense: rrnF;17;174;7,24E-12;0,097701149;-3,355480655
4533559;;;4533534;-;-;predicted RNA;antisense: rrnA;17;174;7,24E-12;0,097701149;-3,355480655
7869676;;;7869983;+;-;predicted RNA;antisense: SCO7080;98;379;1,15E-11;0,258575198;-1,951344194
6074191;;;6074541;+;-;predicted RNA;-;331;953;1,77E-11;0,347324239;-1,525644997
5113596;;;5113627;+;-;predicted RNA;-;1167;4235;2,43E-11;0,275560803;-1,859557409
1918710;;;1918753;+;-;predicted RNA;antisense: rrnB;17;174;5,18E-10;0,097701149;-3,355480655
6272883;;;6272840;-;-;predicted RNA;antisense: rrnE;17;174;5,18E-10;0,097701149;-3,355480655
4387458;;;4387387;-;-;predicted RNA;antisense: SCO3989;47;331;8,92E-10;0,141993958;-2,816098555
3690696;;;3690876;+;-;predicted RNA;-;68;309;3,88E-09;0,220064725;-2,184000187
291710;;;291527;-;-;predicted RNA;antisense: SCO0297;73;322;4,16E-09;0,226708075;-2,141092319
7515847;;;7515909;+;-;predicted RNA;-;78;469;4,16E-09;0,166311301;-2,588041894
2061264;;;2061072;-;-;predicted RNA;antisense: SCO1929 SCO1928;103;399;4,68E-09;0,258145363;-1,953744409
8623810;;;8623233;-;-;predicted RNA;antisense: SCO7803;291;852;1,68E-08;0,341549296;-1,549834277
5261241;;;5261086;-;-;predicted RNA;antisense: SCO4829;78;340;2,35E-08;0,229411765;-2,123988717
3510012;;;3510098;+;-;predicted RNA;-;53;309;5,11E-08;0,171521036;-2,543542573
2818632;;;2818398;-;-;predicted RNA;-;149;465;1,02E-07;0,320430108;-1,641918386
7888446;;;7888540;+;-;predicted RNA;-;55;292;3,86E-07;0,188356164;-2,408464845
4862755;;;4862584;-;-;predicted RNA;antisense: SCO4440;89;333;5,86E-07;0,267267267;-1,903644936
4359699;;;4359733;+;-;predicted RNA;antisense: SCO3960;48;345;7,59E-07;0,139130435;-2,845490051
4219191;;;4219224;+;-;predicted RNA;antisense: SCO3836;237;32;8,53E-07;7,40625;2,888743249
5615295;;;5615081;-;-;predicted RNA;-;160;462;1,97E-06;0,346320346;-1,529820947
744245;;;744336;+;-;predicted RNA;-;70;332;2,18E-06;0,210843373;-2,245756414
6749959;;;6750102;+;-;predicted RNA;-;474;1151;3,92E-06;0,411815812;-1,279928869
2859428;;;2858975;-;-;predicted RNA;antisense: SCO2632;379;970;4,92E-06;0,390721649;-1,355786899
1037875;;;1038137;+;-;predicted RNA;-;562;1167;6,93E-06;0,481576692;-1,054162525
5127417;;;5127406;-;-;predicted RNA;-;36;261;1,19E-05;0,137931034;-2,857980995
3199166;;;3199327;+;-;predicted RNA;antisense: SCO2943;105;332;3,13E-05;0,31626506;-1,660793914
4628918;;;4628969;+;-;predicted RNA;antisense: SCO4223;45;258;3,51E-05;0,174418605;-2,519374159
5106785;;;5106898;+;-;predicted RNA;antisense: SCO4675;105;367;3,87E-05;0,286103542;-1,805390735
5837208;;;5837405;+;-;predicted RNA;-;462;961;3,87E-05;0,48074922;-1,056643579
2308748;;;2308605;-;-;predicted RNA;-;164;457;6,14E-05;0,358862144;-1,47849835
4890491;;;4890523;+;-;predicted RNA;-;3082;768;6,24E-05;4,013020833;2,004688646
4482416;;;4482378;-;-;predicted RNA;-;1464;3335;7,30E-05;0,43898051;-1,187771208
5634718;;;5634549;-;-;predicted RNA;antisense: SCO5183;134;373;7,82E-05;0,35924933;-1,47694263
5609887;;;5609876;-;-;predicted RNA;-;55;391;9,28E-05;0,140664962;-2,829665084
4400976;;;4401092;+;-;predicted RNA;antisense: SCO4007;94;321;1,23E-04;0,292834891;-1,771840635
3360063;;;3359893;-;-;predicted RNA;-;197;494;1,27E-04;0,398785425;-1,326315412
5610107;;;5610087;-;-;predicted RNA;-;48;327;1,30E-04;0,146788991;-2,768184325
6059653;;;6059862;+;-;predicted RNA;antisense: SCO5561;125;328;1,35E-04;0,381097561;-1,39176772
6069064;;;6069119;+;-;predicted RNA;-;755;1758;1,93E-04;0,429465301;-1,219386521
2860936;;;2860967;+;-;predicted RNA;antisense: SCO2634;221;38;2,40E-04;5,815789474;2,539975046
3934701;;;3934893;+;-;predicted RNA;-;989;2174;3,87E-04;0,454921803;-1,136309514
1472989;;;1473084;+;-;predicted RNA;antisense: rrnC;66;255;4,17E-04;0,258823529;-1,949959318
1920868;;;1920963;+;-;predicted RNA;antisense: rrnB;66;255;4,17E-04;0,258823529;-1,949959318
3301027;;;3301122;+;-;predicted RNA;antisense: SCOr09;66;255;4,17E-04;0,258823529;-1,949959318
3689806;;;3689901;+;-;predicted RNA;antisense: rrnF;66;255;4,17E-04;0,258823529;-1,949959318
4531400;;;4531305;-;-;predicted RNA;antisense: rrnA;66;255;4,17E-04;0,258823529;-1,949959318
6270723;;;6270628;-;-;predicted RNA;antisense: rrnE;66;255;4,17E-04;0,258823529;-1,949959318
8297068;;;8297171;+;-;predicted RNA;antisense: SCO7486;94;315;4,29E-04;0,298412698;-1,744619167
3673421;;;3673242;-;-;predicted RNA;-;287;612;5,46E-04;0,468954248;-1,092480916
4607242;;;4607161;-;-;predicted RNA;-;89;326;5,48E-04;0,273006135;-1,872994723
3226820;;;3226918;+;-;predicted RNA;antisense: SCOs02;76;275;6,19E-04;0,276363636;-1,855360295
7051539;;;7051712;+;-;predicted RNA;antisense: SCO6385;158;378;7,65E-04;0,417989418;-1,258461676
6413904;;;6414033;+;-;predicted RNA;antisense: SCO5857;78;248;8,98E-04;0,314516129;-1,668794092
4436887;;;4436762;-;-;predicted RNA;-;130;358;9,16E-04;0,363128492;-1,461447964
46751;;;46837;+;-;predicted RNA;antisense: SCO0061;113;362;9,26E-04;0,312154696;-1,679666925
8016653;;;8016830;+;-;predicted RNA;-;379;732;0,00105952;0,517759563;-0,9496458
5479776;;;5479529;-;-;predicted RNA;-;225;444;0,001578204;0,506756757;-0,980634675
4481848;;;4481816;-;-;predicted RNA;antisense: SCO4087;54;273;0,002337075;0,197802198;-2,337869639
4389001;;;4388768;-;-;predicted RNA;-;194;387;0,002678759;0,50129199;-0,996276914
8243552;;;8243974;+;-;predicted RNA;antisense: SCO7429;470;138;0,002776339;3,405797101;1,76799249
4323870;;;4324332;+;-;predicted RNA;-;274;418;0,003794405;0,655502392;-0,609327049
7063633;;;7063862;+;-;predicted RNA;-;195;381;0,003888692;0,511811024;-0,966316874
4515588;;;4515712;+;-;predicted RNA;-;122;312;0,004011507;0,391025641;-1,354664881
6486279;;;6486515;+;-;predicted RNA;-;199;383;0,004019934;0,519582245;-0,944575961
5647142;;;5647160;+;-;predicted RNA;-;436;1329;0,00529873;0,328066215;-1,607941064
6419051;;;6418940;-;-;predicted RNA;antisense: SCO5861;139;340;0,006502264;0,408823529;-1,290449863
3911585;;;3911458;-;-;predicted RNA;-;204;418;0,008086198;0,488038278;-1,03493379
4753327;;;4753547;+;-;predicted RNA;antisense: SCO4339;324;535;0,009366117;0,605607477;-0,723545078
6219578;;;6219613;+;-;predicted RNA;-;278;742;0,011179302;0,374663073;-1,416334304
3858655;;;3858755;+;-;predicted RNA;antisense: SCO3493;92;249;0,012979271;0,369477912;-1,436439976
4295780;;;4296069;+;-;predicted RNA;-;243;392;0,012983932;0,619897959;-0,689897341
6133158;;;6133384;+;-;predicted RNA;-;304;490;0,013561443;0,620408163;-0,688710426
3788135;;;3788152;+;-;predicted RNA;-;52;264;0,014534103;0,196969697;-2,343954401
4089296;;;4089356;+;-;predicted RNA;antisense: SCO3714;78;213;0,014792097;0,366197183;-1,449307401
5888231;;;5888352;+;-;predicted RNA;antisense: SCO5418;107;255;0,01524398;0,419607843;-1,25288645
646202;;;646106;-;-;predicted RNA;antisense: SCO0605;156;347;0,019908972;0,449567723;-1,153389634
5006094;;;5006120;+;-;predicted RNA;-;82;321;0,020063074;0,255451713;-1,968877483
3501295;;;3501309;+;-;predicted RNA;-;1692;560;0,023354314;3,021428571;1,595230836
6370772;;;6370285;-;-;predicted RNA;-;3890;3735;0,024793067;1,041499331;0,058661912
1182043;;;1182125;+;-;predicted RNA;antisense: SCO1125;109;278;0,025241329;0,392086331;-1,350756748
5118587;;;5118599;+;-;predicted RNA;-;57;279;0,025624096;0,204301075;-2,291231298
4388146;;;4388389;+;-;predicted RNA;-;185;308;0,027160437;0,600649351;-0,73540508
4043317;;;4043287;-;-;predicted RNA;-;90;312;0,030647828;0,288461538;-1,793549123
185903;;;185778;-;-;predicted RNA;antisense: SCO0195;213;378;0,033638945;0,563492063;-0,827532804
5400704;;;5400675;-;-;predicted RNA;-;121;381;0,040719873;0,317585302;-1,65478395
1764537;;;1764558;+;-;predicted RNA;antisense: SCO1650;87;324;0,045365384;0,268518519;-1,896906507
4711122;;;4711029;-;-;predicted RNA;antisense: groEL;303;110;0,051920902;2,754545455;1,46181427
1711119;;;1711009;-;-;predicted RNA;-;3542;3432;0,061031028;1,032051282;0,045514659
5367959;;;5367726;-;-;predicted RNA;antisense: SCO4933;229;337;0,061532737;0,679525223;-0,557400993
4233453;;;4233562;+;-;predicted RNA;-;306;480;0,062131314;0,6375;-0,649502753
6044735;;;6044717;-;-;predicted RNA;-;85;318;0,063912511;0,267295597;-1,903492019
838757;;;838854;+;-;predicted RNA;-;467;698;0,064704148;0,669054441;-0,579804486
4449434;;;4449444;+;-;predicted RNA;-;57;240;0,068179112;0,2375;-2,074000581
4984782;;;4984131;-;-;predicted RNA;antisense: SCO4567 SCO4566;832;742;0,073414456;1,121293801;0,165164342
6933991;;;6933838;-;-;predicted RNA;antisense: SCO6277;254;378;0,074906806;0,671957672;-0,573557737
6807677;;;6807658;-;-;predicted RNA;-;70;264;0,075162272;0,265151515;-1,915111102
6097085;;;6097102;+;-;predicted RNA;-;3407;4730;0,075477939;0,720295983;-0,473338236
1460734;;;1460668;-;-;predicted RNA;-;541;813;0,075676689;0,665436654;-0,587626758
1771616;;;1771607;-;-;predicted RNA;-;89;365;0,080873862;0,243835616;-2,036019223
6269825;;;6269721;-;-;predicted RNA;-;141;261;0,088606184;0,540229885;-0,888354644
2117464;;;2117442;-;-;predicted RNA;antisense: SCO1977;67;239;0,092650834;0,280334728;-1,834777618
5870432;;;5870483;+;-;predicted RNA;antisense: SCO5398;88;222;0,096120012;0,396396396;-1,334984248
1470127;;;1470152;+;-;predicted RNA;antisense: rrnC;65;219;0,106068996;0,296803653;-1,752419247
1918005;;;1918030;+;-;predicted RNA;antisense: rrnB;65;219;0,106068996;0,296803653;-1,752419247
3298165;;;3298190;+;-;predicted RNA;antisense: SCOr08;65;219;0,106068996;0,296803653;-1,752419247
3686938;;;3686963;+;-;predicted RNA;antisense: rrnF;65;219;0,106068996;0,296803653;-1,752419247
4534264;;;4534239;-;-;predicted RNA;antisense: rrnA;65;219;0,106068996;0,296803653;-1,752419247
6099417;;;6099445;+;-;predicted RNA;-;1425;1988;0,110934513;0,716800805;-0,480355838
6216418;;;6216463;+;-;predicted RNA;-;1595;2009;0,112421844;0,793927327;-0,33292114
1767978;;;1767818;-;-;predicted RNA;-;263;360;0,122297912;0,730555556;-0,452934107
1738027;;;1738040;+;-;predicted RNA;-;262;80;0,135552781;3,275;1,711494907
4530502;;;4530364;-;-;predicted RNA;-;175;263;0,135811175;0,66539924;-0,587707877
3226549;;;3226754;+;-;predicted RNA;antisense: SCOs02;1175;1329;0,138187117;0,884123401;-0,177680348
6259519;;;6259571;+;-;predicted RNA;-;80;192;0,143681184;0,416666667;-1,263034406
3320745;;;3320719;-;-;predicted RNA;-;835;1254;0,151734848;0,665869219;-0,586689245
5255595;;;5255657;+;-;predicted RNA;-;170;310;0,154393765;0,548387097;-0,866733469
2462899;;;2463298;+;-;predicted RNA;antisense: SCO2293 rnpB;592;662;0,158592961;0,894259819;-0,161234041
6038974;;;6038954;-;-;predicted RNA;-;80;247;0,167320493;0,32388664;-1,626439137
5173046;;;5173069;+;-;predicted RNA;-;17949;6164;0,172281289;2,911907852;1,541964702
5558421;;;5558497;+;-;predicted RNA;-;705;305;0,200260518;2,31147541;1,208814015
1919244;;;1919606;+;-;predicted RNA;antisense: rrnB;731;739;0,201091467;0,98917456;-0,015702958
3688178;;;3688540;+;-;predicted RNA;antisense: rrnF;731;739;0,201091467;0,98917456;-0,015702958
3299403;;;3299765;+;-;predicted RNA;antisense: SCOr08;733;739;0,202259492;0,99188092;-0,011761166
4533026;;;4532664;-;-;predicted RNA;antisense: rrnA;733;739;0,202259492;0,99188092;-0,011761166
6272351;;;6271989;-;-;predicted RNA;antisense: rrnE;733;739;0,202259492;0,99188092;-0,011761166
527856;;;527844;-;-;predicted RNA;-;323;116;0,219998147;2,784482759;1,47740936
1471374;;;1471727;+;-;predicted RNA;antisense: rrnC;749;745;0,22250997;1,005369128;0,007725293
3153869;;;3153850;-;-;predicted RNA;-;480;833;0,227930993;0,576230492;-0,79528209
6259072;;;6259088;+;-;predicted RNA;-;1365;1889;0,238663084;0,722604553;-0,468721751
5844648;;;5844669;+;-;predicted RNA;-;956;1357;0,243221755;0,70449521;-0,505338197
1914467;;;1914444;-;-;predicted RNA;-;112;264;0,249078553;0,424242424;-1,237039197
4922650;;;4922747;+;-;predicted RNA;-;163;252;0,251222475;0,646825397;-0,628551769
3944837;;;3944948;+;-;predicted RNA;-;464;557;0,251829781;0,833034111;-0,263552522
6039088;;;6039060;-;-;predicted RNA;-;178;349;0,260720758;0,510028653;-0,971349795
7518773;;;7518549;-;-;predicted RNA;antisense: SCO6762;308;353;0,273760498;0,872521246;-0,196737833
3739210;;;3739048;-;-;predicted RNA;-;990;1033;0,277797669;0,958373669;-0,061339824
2753810;;;2753790;-;-;predicted RNA;-;194;397;0,27795696;0,488664987;-1,033082355
4051601;;;4051631;+;-;predicted RNA;antisense: dnaK;152;298;0,287848756;0,510067114;-0,971241007
5140981;;;5141037;+;-;predicted RNA;-;9025;6576;0,288335644;1,372414842;0,456716633
2255421;;;2255412;-;-;predicted RNA;-;773;1379;0,288952816;0,560551124;-0,835082138
5963136;;;5963148;+;-;predicted RNA;-;727;332;0,295740489;2,189759036;1,130772123
7362716;;;7362835;+;-;predicted RNA;-;217;282;0,302163045;0,769503546;-0,37800012
3301924;;;3301978;+;-;predicted RNA;antisense: SCOr09;152;262;0,304243775;0,580152672;-0,785495488
4811572;;;4811705;+;-;predicted RNA;-;270;335;0,305081839;0,805970149;-0,311201688
1580865;;;1580854;-;-;predicted RNA;-;1310;1927;0,333576029;0,679813181;-0,55678976
721473;;;721509;+;-;predicted RNA;antisense: SCO0680;119;219;0,359299368;0,543378995;-0,879969296
1710811;;;1710746;-;-;predicted RNA;-;2660;2759;0,363469826;0,964117434;-0,052719211
6682728;;;6682744;+;-;predicted RNA;-;171;336;0,396132364;0,508928571;-0,974464908
5595592;;;5595672;+;-;predicted RNA;-;319;391;0,410895896;0,815856777;-0,293612184
5072727;;;5072834;+;-;predicted RNA;-;805;812;0,421721052;0,99137931;-0,012490944
1463071;;;1462972;-;-;predicted RNA;-;616;656;0,433070864;0,93902439;-0,090765464
3679829;;;3679814;-;-;predicted RNA;-;475;778;0,437205482;0,610539846;-0,711842642
1737143;;;1737152;+;-;predicted RNA;-;352;162;0,445353218;2,172839506;1,119581616
2232944;;;2232908;-;-;predicted RNA;-;368;509;0,468865969;0,722986248;-0,46795989
6040154;;;6040088;-;-;predicted RNA;-;248;330;0,500904267;0,751515152;-0,412125904
3510259;;;3510205;-;-;predicted RNA;-;288;155;0,506061519;1,858064516;0,893800596
2536609;;;2536598;-;-;predicted RNA;-;597;336;0,543547409;1,776785714;0,829269698
1989702;;;1989763;+;-;predicted RNA;-;286;156;0,551281311;1,833333333;0,874469118
5889544;;;5889624;+;-;predicted RNA;-;340;388;0,552703219;0,87628866;-0,190521906
6104453;;;6104475;+;-;predicted RNA;-;229;364;0,553424256;0,629120879;-0,668590852
5680063;;;5680098;+;-;predicted RNA;-;310;428;0,571542806;0,724299065;-0,465342581
2262861;;;2262852;-;-;predicted RNA;-;304;274;0,574144642;1,109489051;0,14989543
3166281;;;3166247;-;-;predicted RNA;-;286;408;0,57482029;0,700980392;-0,512554005
3033325;;;3033335;+;-;predicted RNA;-;296;159;0,583656851;1,86163522;0,89657041
5354015;;;5354025;+;-;predicted RNA;-;499;304;0,584499938;1,641447368;0,714968492
2344257;;;2344269;+;-;predicted RNA;-;3167;1653;0,58452136;1,915910466;0,938030143
1967205;;;1967146;-;-;predicted RNA;-;359;433;0,597751961;0,829099307;-0,270383181
169583;;;169561;-;-;predicted RNA;-;830;461;0,605745992;1,800433839;0,848344586
4637264;;;4637301;+;-;predicted RNA;-;770;852;0,607395306;0,903755869;-0,145994985
3350992;;;3350911;-;-;predicted RNA;-;330;178;0,607955674;1,853932584;0,890588783
5143358;;;5143376;+;-;predicted RNA;-;5685;5080;0,621329713;1,119094488;0,162331852
6285931;;;6285943;+;-;predicted RNA;-;227;341;0,661855494;0,66568915;-0,587079442
4228776;;;4228806;+;-;predicted RNA;-;287;409;0,664122126;0,701711491;-0,511050106
5077475;;;5077531;+;-;predicted RNA;-;2952;2730;0,68188339;1,081318681;0,11279177
5037752;;;5037742;-;-;predicted RNA;-;267;383;0,707449081;0,697127937;-0,52050465
4290011;;;4290002;-;-;predicted RNA;-;97;232;0,724018413;0,418103448;-1,258068153
4141895;;;4141926;+;-;predicted RNA;-;882;929;0,76240706;0,949407966;-0,074899941
1623545;;;1623517;-;-;predicted RNA;-;342;209;0,770278681;1,636363636;0,710493383
3034532;;;3034612;+;-;predicted RNA;-;324;186;0,773715522;1,741935484;0,800691192
3770170;;;3770151;-;-;predicted RNA;-;908;1045;0,780193938;0,868899522;-0,20273874
1609838;;;1609826;-;-;predicted RNA;-;2513;2538;0,810414518;0,990149724;-0,014281398
6244917;;;6244948;+;-;predicted RNA;-;631;389;0,848978755;1,622107969;0,69786985
1284539;;;1284552;+;-;predicted RNA;-;501;327;0,853590883;1,532110092;0,615519968
1749444;;;1749353;-;-;predicted RNA;-;619;560;0,865071048;1,105357143;0,144512582
3954122;;;3954075;-;-;predicted RNA;-;724;703;0,891890516;1,029871977;0,042465008
5253084;;;5253069;-;-;predicted RNA;-;356;243;0,911775011;1,465020576;0,550920927
4631072;;;4630992;-;-;predicted RNA;-;306;320;0,912632268;0,95625;-0,064540252
4893880;;;4893901;+;-;predicted RNA;-;240;317;0,915356592;0,757097792;-0,401448435
1752269;;;1752260;-;-;predicted RNA;-;301;269;0,917827341;1,118959108;0,162157314
6818847;;;6818644;-;-;predicted RNA;-;467;394;0,924721896;1,185279188;0,24522692
1636965;;;1636947;-;-;predicted RNA;-;279;368;0,925135285;0,758152174;-0,399440644
5368525;;;5368636;+;-;predicted RNA;-;770;658;0,937535051;1,170212766;0,226770862
5132996;;;5133038;+;-;predicted RNA;-;6549;3312;0,96068385;1,977355072;0,983571958
2331726;;;2331641;-;-;predicted RNA;-;327;324;0,966811077;1,009259259;0,013296823
4893778;;;4893798;+;-;predicted RNA;-;231;293;0,978842393;0,788395904;-0,343007813
5351116;;;5351090;-;-;predicted RNA;-;296;203;0,978842393;1,458128079;0,544117448
5838298;;;5838313;+;-;predicted RNA;-;3099;2806;0,995570493;1,104419102;0,143287746
2301841;;;2301855;+;-;predicted RNA;-;632;432;0,995669867;1,462962963;0,548893246
1781925;;;1782024;+;-;predicted RNA;-;412;252;0,999213718;1,634920635;0,709220604
200602;;;200635;+;-;predicted RNA;-;575;457;1;1,258205689;0,331367791
1462076;;;1462041;-;-;predicted RNA;-;524;522;1;1,003831418;0,005517005
1535753;;;1535735;-;-;predicted RNA;-;245;218;1;1,123853211;0,168453614
1578993;;;1578973;-;-;predicted RNA;-;354;377;1;0,938992042;-0,090815163
1581928;;;1581914;-;-;predicted RNA;-;739;602;1;1,227574751;0,295810877
1622947;;;1622826;-;-;predicted RNA;-;357;259;1;1,378378378;0,462971976
1758474;;;1758443;-;-;predicted RNA;-;771;650;1;1,186153846;0,246291142
1760147;;;1760136;-;-;predicted RNA;-;940;979;1;0,960163432;-0,058648103
2000456;;;2000478;+;-;predicted RNA;-;1245;949;1;1,311907271;0,39166575
2077632;;;2077617;-;-;predicted RNA;-;501;584;1;0,857876712;-0,221157766
2078003;;;2077942;-;-;predicted RNA;-;1244;749;1;1,660881175;0,731948862
2104339;;;2104306;-;-;predicted RNA;-;417;358;1;1,164804469;0,220087796
2104954;;;2104939;-;-;predicted RNA;-;373;429;1;0,869463869;-0,201802017
2285961;;;2285896;-;-;predicted RNA;-;408;278;1;1,467625899;0,553484269
2333771;;;2333789;+;-;predicted RNA;-;284;311;1;0,91318328;-0,131023651
2362871;;;2362903;+;-;predicted RNA;-;423;294;1;1,43877551;0,524841508
2561366;;;2561392;+;-;predicted RNA;-;3131;2429;1;1,289007822;0,366261019
2836685;;;2836676;-;-;predicted RNA;-;523;549;1;0,952641166;-0,069995203
2845999;;;2845975;-;-;predicted RNA;-;1648;1459;1;1,129540781;0,175736359
2854111;;;2854091;-;-;predicted RNA;-;648;490;1;1,32244898;0,403212064
3306784;;;3306763;-;-;predicted RNA;-;465;434;1;1,071428571;0,099535674
